build,variant,sa_size,acc_bits,layout,mitig,scrub,status,wns_ns,whs_ns,lut,lut_pct,ff,ff_pct,dsp,dsp_pct,bram,bram_pct,essential_bits,total_cram_bits
ursa_vanilla_2x2_acc20_bram,vanilla,2,20,bram,none,off,ok,0.500,0.017,6427,12.08,7375,6.93,6,2.73,10.5,7.50,1468642,25697632
ursa_vanilla_2x2_acc20_ocm,vanilla,2,20,ocm,none,off,ok,1.449,0.020,3956,7.44,4784,4.50,6,2.73,1.5,1.07,857379,25697632
ursa_vanilla_2x2_acc20_hybrid,vanilla,2,20,hybrid,none,off,ok,1.162,0.024,5350,10.06,6437,6.05,6,2.73,2.5,1.79,1178274,25697632
ursa_vanilla_4x4_acc20_bram,vanilla,4,20,bram,none,off,ok,1.087,0.017,7332,13.78,8158,7.67,18,8.18,10.5,7.50,1694554,25697632
ursa_vanilla_4x4_acc20_ocm,vanilla,4,20,ocm,none,off,ok,1.541,0.014,4856,9.13,5567,5.23,18,8.18,1.5,1.07,1086976,25697632
ursa_vanilla_4x4_acc20_hybrid,vanilla,4,20,hybrid,none,off,ok,1.185,0.021,6256,11.76,7220,6.79,18,8.18,2.5,1.79,1407059,25697632
ursa_vanilla_8x8_acc20_bram,vanilla,8,20,bram,none,off,ok,0.262,0.017,9389,17.65,10786,10.14,66,30.00,10.5,7.50,2393087,25697632
ursa_vanilla_8x8_acc20_ocm,vanilla,8,20,ocm,none,off,ok,0.833,0.033,6919,13.01,8195,7.70,66,30.00,1.5,1.07,1801674,25697632
ursa_vanilla_8x8_acc20_hybrid,vanilla,8,20,hybrid,none,off,ok,0.863,0.021,8313,15.63,9848,9.26,66,30.00,2.5,1.79,2101318,25697632
ursa_vanilla_16x16_acc20_bram,vanilla,16,20,bram,none,off,ok,0.208,0.018,20029,37.65,24517,23.04,220,100.00,10.5,7.50,6064244,25697632
ursa_vanilla_16x16_acc20_ocm,vanilla,16,20,ocm,none,off,ok,0.150,0.016,17547,32.98,21926,20.61,220,100.00,1.5,1.07,5316331,25697632
ursa_vanilla_16x16_acc20_hybrid,vanilla,16,20,hybrid,none,off,ok,0.217,0.022,18905,35.54,23579,22.16,220,100.00,2.5,1.79,5736147,25697632
ursa_vanilla_4x4_acc20_ocm_tmr,vanilla,4,20,ocm,tmr,off,ok,1.082,0.020,11249,21.14,12679,11.92,54,24.55,4.5,3.21,2588590,25697632
ursa_vanilla_8x8_acc20_ocm_tmr,vanilla,8,20,ocm,tmr,off,ok,0.453,0.010,17401,32.71,20563,19.33,198,90.00,4.5,3.21,4725333,25697632
ursa_vanilla_8x8_acc20_bram_tmr,vanilla,8,20,bram,tmr,off,ok,0.223,0.014,19902,37.41,23194,21.80,198,90.00,13.5,9.64,5361811,25697632
ursa_vanilla_8x8_acc20_hybrid_tmr,vanilla,8,20,hybrid,tmr,off,ok,0.129,0.015,18822,35.38,22260,20.92,198,90.00,5.5,3.93,5065457,25697632
ursa_vanilla_8x8_acc20_hybrid_tmr_edac,vanilla,8,20,hybrid,tmr_edac,off,ok,0.388,0.022,19697,37.02,23258,21.86,198,90.00,7,5.00,5235411,25697632
ursa_vanilla_8x8_acc20_bram_tmr_edac,vanilla,8,20,bram,tmr_edac,off,ok,0.206,0.024,22311,41.94,26138,24.57,198,90.00,17,12.14,6080678,25697632
