elf,variant,sa_size,layout,status,text,data,bss
bench_vanilla_2x2_bram,vanilla,2,bram,ok,70873,2684,22848
bench_vanilla_4x4_bram,vanilla,4,bram,ok,70873,2684,22848
bench_vanilla_8x8_bram,vanilla,8,bram,ok,70873,2684,22848
bench_vanilla_16x16_bram,vanilla,16,bram,ok,70873,2684,22848
bench_vanilla_2x2_ocm,vanilla,2,ocm,ok,73709,2684,22848
bench_vanilla_4x4_ocm,vanilla,4,ocm,ok,73709,2684,22848
bench_vanilla_8x8_ocm,vanilla,8,ocm,ok,73709,2684,22848
bench_vanilla_16x16_ocm,vanilla,16,ocm,ok,73709,2684,22848
bench_vanilla_2x2_hybrid,vanilla,2,hybrid,ok,73721,2684,22848
bench_vanilla_4x4_hybrid,vanilla,4,hybrid,ok,73721,2684,22848
bench_vanilla_8x8_hybrid,vanilla,8,hybrid,ok,73721,2684,22848
bench_vanilla_16x16_hybrid,vanilla,16,hybrid,ok,73721,2684,22848
