elf,mode,variant,cache_i,cache_d,sa_size,layout,status,text,data,bss
bench_vanilla_2x2_bram,bench,vanilla,1,1,2,bram,ok,71157,2684,22848
bench_vanilla_4x4_bram,bench,vanilla,1,1,4,bram,ok,71157,2684,22848
bench_vanilla_8x8_bram,bench,vanilla,1,1,8,bram,ok,71157,2684,22848
bench_vanilla_16x16_bram,bench,vanilla,1,1,16,bram,ok,71157,2684,22848
bench_vanilla_2x2_ocm,bench,vanilla,1,1,2,ocm,ok,73993,2684,22848
bench_vanilla_4x4_ocm,bench,vanilla,1,1,4,ocm,ok,73993,2684,22848
bench_vanilla_8x8_ocm,bench,vanilla,1,1,8,ocm,ok,73993,2684,22848
bench_vanilla_16x16_ocm,bench,vanilla,1,1,16,ocm,ok,73993,2684,22848
bench_vanilla_2x2_hybrid,bench,vanilla,1,1,2,hybrid,ok,73957,2684,22848
bench_vanilla_4x4_hybrid,bench,vanilla,1,1,4,hybrid,ok,73957,2684,22848
bench_vanilla_8x8_hybrid,bench,vanilla,1,1,8,hybrid,ok,73957,2684,22848
bench_vanilla_16x16_hybrid,bench,vanilla,1,1,16,hybrid,ok,73957,2684,22848
bench_vanilla-nci_2x2_bram,bench,vanilla,0,1,2,bram,ok,73937,2684,22848
bench_vanilla-nci_4x4_bram,bench,vanilla,0,1,4,bram,ok,73937,2684,22848
bench_vanilla-nci_8x8_bram,bench,vanilla,0,1,8,bram,ok,73937,2684,22848
bench_vanilla-nci_16x16_bram,bench,vanilla,0,1,16,bram,ok,73937,2684,22848
bench_vanilla-nci_2x2_ocm,bench,vanilla,0,1,2,ocm,ok,74005,2684,22848
bench_vanilla-nci_4x4_ocm,bench,vanilla,0,1,4,ocm,ok,74005,2684,22848
bench_vanilla-nci_8x8_ocm,bench,vanilla,0,1,8,ocm,ok,74005,2684,22848
bench_vanilla-nci_16x16_ocm,bench,vanilla,0,1,16,ocm,ok,74005,2684,22848
bench_vanilla-nci_2x2_hybrid,bench,vanilla,0,1,2,hybrid,ok,73969,2684,22848
bench_vanilla-nci_4x4_hybrid,bench,vanilla,0,1,4,hybrid,ok,73969,2684,22848
bench_vanilla-nci_8x8_hybrid,bench,vanilla,0,1,8,hybrid,ok,73969,2684,22848
bench_vanilla-nci_16x16_hybrid,bench,vanilla,0,1,16,hybrid,ok,73969,2684,22848
