elf,mode,variant,cache_i,cache_d,sa_size,layout,status,text,data,bss
cnn_vanilla_2x2_bram,cnn,vanilla,1,1,2,bram,ok,76161,98404,121184
cnn_vanilla_4x4_bram,cnn,vanilla,1,1,4,bram,ok,76353,98404,121184
cnn_vanilla_8x8_bram,cnn,vanilla,1,1,8,bram,ok,76353,98404,121184
cnn_vanilla_16x16_bram,cnn,vanilla,1,1,16,bram,ok,76033,98404,121184
cnn_vanilla_2x2_ocm,cnn,vanilla,1,1,2,ocm,ok,78901,98404,121184
cnn_vanilla_4x4_ocm,cnn,vanilla,1,1,4,ocm,ok,79165,98404,121184
cnn_vanilla_8x8_ocm,cnn,vanilla,1,1,8,ocm,ok,79165,98404,121184
cnn_vanilla_16x16_ocm,cnn,vanilla,1,1,16,ocm,ok,78837,98404,121184
cnn_vanilla_2x2_hybrid,cnn,vanilla,1,1,2,hybrid,ok,78925,98404,121184
cnn_vanilla_4x4_hybrid,cnn,vanilla,1,1,4,hybrid,ok,79117,98404,121184
cnn_vanilla_8x8_hybrid,cnn,vanilla,1,1,8,hybrid,ok,79117,98404,121184
cnn_vanilla_16x16_hybrid,cnn,vanilla,1,1,16,hybrid,ok,78861,98404,121184
cnn_vanilla-nci_2x2_bram,cnn,vanilla,0,1,2,bram,ok,78925,98404,121184
cnn_vanilla-nci_4x4_bram,cnn,vanilla,0,1,4,bram,ok,79117,98404,121184
cnn_vanilla-nci_8x8_bram,cnn,vanilla,0,1,8,bram,ok,79117,98404,121184
cnn_vanilla-nci_16x16_bram,cnn,vanilla,0,1,16,bram,ok,78797,98404,121184
cnn_vanilla-nci_2x2_ocm,cnn,vanilla,0,1,2,ocm,ok,78913,98404,121184
cnn_vanilla-nci_4x4_ocm,cnn,vanilla,0,1,4,ocm,ok,79177,98404,121184
cnn_vanilla-nci_8x8_ocm,cnn,vanilla,0,1,8,ocm,ok,79177,98404,121184
cnn_vanilla-nci_16x16_ocm,cnn,vanilla,0,1,16,ocm,ok,78849,98404,121184
cnn_vanilla-nci_2x2_hybrid,cnn,vanilla,0,1,2,hybrid,ok,78937,98404,121184
cnn_vanilla-nci_4x4_hybrid,cnn,vanilla,0,1,4,hybrid,ok,79129,98404,121184
cnn_vanilla-nci_8x8_hybrid,cnn,vanilla,0,1,8,hybrid,ok,79129,98404,121184
cnn_vanilla-nci_16x16_hybrid,cnn,vanilla,0,1,16,hybrid,ok,78873,98404,121184
