elf,mode,variant,cache_i,cache_d,sa_size,layout,status,text,data,bss
free_vanilla_2x2_bram,free,vanilla,1,1,2,bram,ok,71321,2684,22848
free_vanilla_4x4_bram,free,vanilla,1,1,4,bram,ok,71321,2684,22848
free_vanilla_8x8_bram,free,vanilla,1,1,8,bram,ok,71321,2684,22848
free_vanilla_16x16_bram,free,vanilla,1,1,16,bram,ok,71321,2684,22848
free_vanilla_2x2_ocm,free,vanilla,1,1,2,ocm,ok,74117,2684,22848
free_vanilla_4x4_ocm,free,vanilla,1,1,4,ocm,ok,74117,2684,22848
free_vanilla_8x8_ocm,free,vanilla,1,1,8,ocm,ok,74117,2684,22848
free_vanilla_16x16_ocm,free,vanilla,1,1,16,ocm,ok,74117,2684,22848
free_vanilla_2x2_hybrid,free,vanilla,1,1,2,hybrid,ok,74121,2684,22848
free_vanilla_4x4_hybrid,free,vanilla,1,1,4,hybrid,ok,74121,2684,22848
free_vanilla_8x8_hybrid,free,vanilla,1,1,8,hybrid,ok,74121,2684,22848
free_vanilla_16x16_hybrid,free,vanilla,1,1,16,hybrid,ok,74121,2684,22848
free_vanilla-nci_2x2_bram,free,vanilla,0,1,2,bram,ok,74085,2684,22848
free_vanilla-nci_4x4_bram,free,vanilla,0,1,4,bram,ok,74085,2684,22848
free_vanilla-nci_8x8_bram,free,vanilla,0,1,8,bram,ok,74085,2684,22848
free_vanilla-nci_16x16_bram,free,vanilla,0,1,16,bram,ok,74085,2684,22848
free_vanilla-nci_2x2_ocm,free,vanilla,0,1,2,ocm,ok,74129,2684,22848
free_vanilla-nci_4x4_ocm,free,vanilla,0,1,4,ocm,ok,74129,2684,22848
free_vanilla-nci_8x8_ocm,free,vanilla,0,1,8,ocm,ok,74129,2684,22848
free_vanilla-nci_16x16_ocm,free,vanilla,0,1,16,ocm,ok,74129,2684,22848
free_vanilla-nci_2x2_hybrid,free,vanilla,0,1,2,hybrid,ok,74133,2684,22848
free_vanilla-nci_4x4_hybrid,free,vanilla,0,1,4,hybrid,ok,74133,2684,22848
free_vanilla-nci_8x8_hybrid,free,vanilla,0,1,8,hybrid,ok,74133,2684,22848
free_vanilla-nci_16x16_hybrid,free,vanilla,0,1,16,hybrid,ok,74133,2684,22848
