mode,variant,cache_i,sa_size,layout,case,P,Q,M,tiles,k_it,us_tot,us,cyc_kit,checksum,check
bench,vanilla,on,2,bram,g1_8x8,8,8,8,,,,21.98,,,ok
bench,vanilla,on,2,bram,g1_16x16,16,16,16,,,,119.09,,,ok
bench,vanilla,on,2,bram,g1_32x32,32,32,32,,,,797.52,,,ok
bench,vanilla,on,2,bram,g1_64x64,64,64,64,,,,5804.6,,,ok
bench,vanilla,on,2,bram,g2_16x8,16,8,8,,,,41.44,,,ok
bench,vanilla,on,2,bram,g2_64x8,64,8,8,,,,153.96,,,ok
bench,vanilla,on,2,bram,g2_256x8,256,8,8,,,,607.47,,,ok
bench,vanilla,on,2,bram,g2_64x16,64,16,16,,,,469.57,,,ok
bench,vanilla,on,2,bram,g2_256x16,256,16,16,,,,1869.21,,,ok
bench,vanilla,on,2,bram,g2_64x32,64,32,32,,,,1591.44,,,ok
bench,vanilla,on,2,bram,g3_8x16,8,16,16,,,,60.81,,,ok
bench,vanilla,on,2,bram,g3_8x64,8,64,64,,,,728.09,,,ok
bench,vanilla,on,2,bram,g3_16x64,16,64,64,,,,1453.96,,,ok
bench,vanilla,on,2,bram,g3_32x64,32,64,64,,,,2903.6,,,ok
bench,vanilla,on,4,bram,g1_8x8,8,8,8,,,,12.3,,,ok
bench,vanilla,on,4,bram,g1_16x16,16,16,16,,,,62.26,,,ok
bench,vanilla,on,4,bram,g1_32x32,32,32,32,,,,403.51,,,ok
bench,vanilla,on,4,bram,g1_64x64,64,64,64,,,,2919.22,,,ok
bench,vanilla,on,4,bram,g2_16x8,16,8,8,,,,21.98,,,ok
bench,vanilla,on,4,bram,g2_64x8,64,8,8,,,,80.31,,,ok
bench,vanilla,on,4,bram,g2_256x8,256,8,8,,,,313.63,,,ok
bench,vanilla,on,4,bram,g2_64x16,64,16,16,,,,239.81,,,ok
bench,vanilla,on,4,bram,g2_256x16,256,16,16,,,,950.51,,,ok
bench,vanilla,on,4,bram,g2_64x32,64,32,32,,,,804.47,,,ok
bench,vanilla,on,4,bram,g3_8x16,8,16,16,,,,33.15,,,ok
bench,vanilla,on,4,bram,g3_8x64,8,64,64,,,,367.84,,,ok
bench,vanilla,on,4,bram,g3_16x64,16,64,64,,,,731.71,,,ok
bench,vanilla,on,4,bram,g3_32x64,32,64,64,,,,1460.72,,,ok
bench,vanilla,on,8,bram,g1_8x8,8,8,8,,,,9.5,,,ok
bench,vanilla,on,8,bram,g1_16x16,16,16,16,,,,40.12,,,ok
bench,vanilla,on,8,bram,g1_32x32,32,32,32,,,,233.51,,,ok
bench,vanilla,on,8,bram,g1_64x64,64,64,64,,,,1578.43,,,ok
bench,vanilla,on,8,bram,g2_16x8,16,8,8,,,,16.48,,,ok
bench,vanilla,on,8,bram,g2_64x8,64,8,8,,,,56.66,,,ok
bench,vanilla,on,8,bram,g2_256x8,256,8,8,,,,216.83,,,ok
bench,vanilla,on,8,bram,g2_64x16,64,16,16,,,,151.43,,,ok
bench,vanilla,on,8,bram,g2_256x16,256,16,16,,,,594.95,,,ok
bench,vanilla,on,8,bram,g2_64x32,64,32,32,,,,463.1,,,ok
bench,vanilla,on,8,bram,g3_8x16,8,16,16,,,,22.02,,,ok
bench,vanilla,on,8,bram,g3_8x64,8,64,64,,,,199.55,,,ok
bench,vanilla,on,8,bram,g3_16x64,16,64,64,,,,397.68,,,ok
bench,vanilla,on,8,bram,g3_32x64,32,64,64,,,,791.46,,,ok
bench,vanilla,on,16,bram,g1_16x16,16,16,16,,,,28.92,,,ok
bench,vanilla,on,16,bram,g1_32x32,32,32,32,,,,145.85,,,ok
bench,vanilla,on,16,bram,g1_64x64,64,64,64,,,,902.76,,,ok
bench,vanilla,on,16,bram,g2_64x16,64,16,16,,,,105.49,,,ok
bench,vanilla,on,16,bram,g2_256x16,256,16,16,,,,410.22,,,ok
bench,vanilla,on,16,bram,g2_64x32,64,32,32,,,,289.17,,,ok
bench,vanilla,on,16,bram,g3_16x64,16,64,64,,,,227.95,,,ok
bench,vanilla,on,16,bram,g3_32x64,32,64,64,,,,452.4,,,ok
