mode,variant,cache_i,sa_size,layout,case,P,Q,M,tiles,k_it,us_tot,us,cyc_kit,checksum,check
bench,vanilla-nci,off,2,hybrid,g1_8x8,8,8,8,,,,29.54,,,ok
bench,vanilla-nci,off,2,hybrid,g1_16x16,16,16,16,,,,134.7,,,ok
bench,vanilla-nci,off,2,hybrid,g1_32x32,32,32,32,,,,849.04,,,ok
bench,vanilla-nci,off,2,hybrid,g1_64x64,64,64,64,,,,5990.54,,,ok
bench,vanilla-nci,off,2,hybrid,g2_16x8,16,8,8,,,,51.33,,,ok
bench,vanilla-nci,off,2,hybrid,g2_64x8,64,8,8,,,,181.5,,,ok
bench,vanilla-nci,off,2,hybrid,g2_256x8,256,8,8,,,,700.75,,,ok
bench,vanilla-nci,off,2,hybrid,g2_64x16,64,16,16,,,,521.12,,,ok
bench,vanilla-nci,off,2,hybrid,g2_256x16,256,16,16,,,,2055.4,,,ok
bench,vanilla-nci,off,2,hybrid,g2_64x32,64,32,32,,,,1688.39,,,ok
bench,vanilla-nci,off,2,hybrid,g3_8x16,8,16,16,,,,72.33,,,ok
bench,vanilla-nci,off,2,hybrid,g3_8x64,8,64,64,,,,755.4,,,ok
bench,vanilla-nci,off,2,hybrid,g3_16x64,16,64,64,,,,1504.94,,,ok
bench,vanilla-nci,off,2,hybrid,g3_32x64,32,64,64,,,,3000.15,,,ok
bench,vanilla-nci,off,4,hybrid,g1_8x8,8,8,8,,,,17.89,,,ok
bench,vanilla-nci,off,4,hybrid,g1_16x16,16,16,16,,,,73.55,,,ok
bench,vanilla-nci,off,4,hybrid,g1_32x32,32,32,32,,,,436.21,,,ok
bench,vanilla-nci,off,4,hybrid,g1_64x64,64,64,64,,,,3035.29,,,ok
bench,vanilla-nci,off,4,hybrid,g2_16x8,16,8,8,,,,29.43,,,ok
bench,vanilla-nci,off,4,hybrid,g2_64x8,64,8,8,,,,99.14,,,ok
bench,vanilla-nci,off,4,hybrid,g2_256x8,256,8,8,,,,374.05,,,ok
bench,vanilla-nci,off,4,hybrid,g2_64x16,64,16,16,,,,273.47,,,ok
bench,vanilla-nci,off,4,hybrid,g2_256x16,256,16,16,,,,1067.39,,,ok
bench,vanilla-nci,off,4,hybrid,g2_64x32,64,32,32,,,,866.23,,,ok
bench,vanilla-nci,off,4,hybrid,g3_8x16,8,16,16,,,,41.09,,,ok
bench,vanilla-nci,off,4,hybrid,g3_8x64,8,64,64,,,,385.97,,,ok
bench,vanilla-nci,off,4,hybrid,g3_16x64,16,64,64,,,,765.6,,,ok
bench,vanilla-nci,off,4,hybrid,g3_32x64,32,64,64,,,,1521.34,,,ok
bench,vanilla-nci,off,8,hybrid,g1_8x8,8,8,8,,,,16.57,,,ok
bench,vanilla-nci,off,8,hybrid,g1_16x16,16,16,16,,,,52.55,,,ok
bench,vanilla-nci,off,8,hybrid,g1_32x32,32,32,32,,,,263.52,,,ok
bench,vanilla-nci,off,8,hybrid,g1_64x64,64,64,64,,,,1688.44,,,ok
bench,vanilla-nci,off,8,hybrid,g2_16x8,16,8,8,,,,25.58,,,ok
bench,vanilla-nci,off,8,hybrid,g2_64x8,64,8,8,,,,73.34,,,ok
bench,vanilla-nci,off,8,hybrid,g2_256x8,256,8,8,,,,271.59,,,ok
bench,vanilla-nci,off,8,hybrid,g2_64x16,64,16,16,,,,181.54,,,ok
bench,vanilla-nci,off,8,hybrid,g2_256x16,256,16,16,,,,704.62,,,ok
bench,vanilla-nci,off,8,hybrid,g2_64x32,64,32,32,,,,520.66,,,ok
bench,vanilla-nci,off,8,hybrid,g3_8x16,8,16,16,,,,29.53,,,ok
bench,vanilla-nci,off,8,hybrid,g3_8x64,8,64,64,,,,216.67,,,ok
bench,vanilla-nci,off,8,hybrid,g3_16x64,16,64,64,,,,427.47,,,ok
bench,vanilla-nci,off,8,hybrid,g3_32x64,32,64,64,,,,848.86,,,ok
bench,vanilla-nci,off,16,hybrid,g1_16x16,16,16,16,,,,37.21,,,ok
bench,vanilla-nci,off,16,hybrid,g1_32x32,32,32,32,,,,164.95,,,ok
bench,vanilla-nci,off,16,hybrid,g1_64x64,64,64,64,,,,962.76,,,ok
bench,vanilla-nci,off,16,hybrid,g2_64x16,64,16,16,,,,122.34,,,ok
bench,vanilla-nci,off,16,hybrid,g2_256x16,256,16,16,,,,471.72,,,ok
bench,vanilla-nci,off,16,hybrid,g2_64x32,64,32,32,,,,323.05,,,ok
bench,vanilla-nci,off,16,hybrid,g3_16x64,16,64,64,,,,246.24,,,ok
bench,vanilla-nci,off,16,hybrid,g3_32x64,32,64,64,,,,486.28,,,ok
