mode,variant,cache_i,sa_size,layout,image,image_id,gold,pred,correct,us_tot,us,fps,accuracy,inferences,us_per_image,fps_run,im2col_us,transfer_us,gemm_us,other_us,pooling
cnn,vanilla,on,2,bram,0,6223,5,5,yes,500535,10010.7,99.89,6/6,300,10007.36,99.92,250,657,7755,1345,450 0 0 0 871 3032
cnn,vanilla,on,2,bram,1,73380,2,2,yes,500610,10012.2,99.87,6/6,300,10007.36,99.92,250,657,7755,1345,256 1823 2846 1881 1378 1
cnn,vanilla,on,2,bram,2,6744,4,4,yes,500383,10007.66,99.92,6/6,300,10007.36,99.92,250,657,7755,1345,577 703 52 49 1689 0
cnn,vanilla,on,2,bram,3,66768,3,3,yes,500186,10003.72,99.96,6/6,300,10007.36,99.92,250,657,7755,1345,102 1341 472 1928 846 18
cnn,vanilla,on,2,bram,4,79150,0,0,yes,500696,10013.92,99.86,6/6,300,10007.36,99.92,250,657,7755,1345,2855 804 405 259 1467 243
cnn,vanilla,on,2,bram,6,76951,1,1,yes,499799,9995.98,100.04,6/6,300,10007.36,99.92,250,657,7755,1345,0 3096 2239 2324 1961 0
cnn,vanilla,on,4,bram,0,6223,5,5,yes,316917,6338.34,157.77,6/6,300,6333.94,157.87,220,657,4095,1361,450 0 0 0 871 3032
cnn,vanilla,on,4,bram,1,73380,2,2,yes,317068,6341.36,157.69,6/6,300,6333.94,157.87,220,657,4095,1361,256 1823 2846 1881 1378 1
cnn,vanilla,on,4,bram,2,6744,4,4,yes,316804,6336.08,157.82,6/6,300,6333.94,157.87,220,657,4095,1361,577 703 52 49 1689 0
cnn,vanilla,on,4,bram,3,66768,3,3,yes,316422,6328.44,158.01,6/6,300,6333.94,157.87,220,657,4095,1361,102 1341 472 1928 846 18
cnn,vanilla,on,4,bram,4,79150,0,0,yes,317013,6340.26,157.72,6/6,300,6333.94,157.87,220,657,4095,1361,2855 804 405 259 1467 243
cnn,vanilla,on,4,bram,6,76951,1,1,yes,315959,6319.18,158.24,6/6,300,6333.94,157.87,220,657,4095,1361,0 3096 2239 2324 1961 0
cnn,vanilla,on,8,bram,0,6223,5,5,yes,223400,4468.0,223.81,6/6,300,4458.39,224.29,233,657,2213,1355,450 0 0 0 871 3032
cnn,vanilla,on,8,bram,1,73380,2,2,yes,223517,4470.34,223.69,6/6,300,4458.39,224.29,233,657,2213,1355,256 1823 2846 1881 1378 1
cnn,vanilla,on,8,bram,2,6744,4,4,yes,222843,4456.86,224.37,6/6,300,4458.39,224.29,233,657,2213,1355,577 703 52 49 1689 0
cnn,vanilla,on,8,bram,3,66768,3,3,yes,222562,4451.24,224.65,6/6,300,4458.39,224.29,233,657,2213,1355,102 1341 472 1928 846 18
cnn,vanilla,on,8,bram,4,79150,0,0,yes,223025,4460.5,224.19,6/6,300,4458.39,224.29,233,657,2213,1355,2855 804 405 259 1467 243
cnn,vanilla,on,8,bram,6,76951,1,1,yes,222171,4443.42,225.05,6/6,300,4458.39,224.29,233,657,2213,1355,0 3096 2239 2324 1961 0
cnn,vanilla,on,16,bram,0,6223,5,5,yes,186346,3726.92,268.31,6/6,300,3719.49,268.85,236,657,1478,1348,450 0 0 0 871 3032
cnn,vanilla,on,16,bram,1,73380,2,2,yes,186134,3722.68,268.62,6/6,300,3719.49,268.85,236,657,1478,1348,256 1823 2846 1881 1378 1
cnn,vanilla,on,16,bram,2,6744,4,4,yes,185848,3716.96,269.03,6/6,300,3719.49,268.85,236,657,1478,1348,577 703 52 49 1689 0
cnn,vanilla,on,16,bram,3,66768,3,3,yes,185739,3714.78,269.19,6/6,300,3719.49,268.85,236,657,1478,1348,102 1341 472 1928 846 18
cnn,vanilla,on,16,bram,4,79150,0,0,yes,186399,3727.98,268.24,6/6,300,3719.49,268.85,236,657,1478,1348,2855 804 405 259 1467 243
cnn,vanilla,on,16,bram,6,76951,1,1,yes,185383,3707.66,269.71,6/6,300,3719.49,268.85,236,657,1478,1348,0 3096 2239 2324 1961 0
