mode,variant,cache_i,sa_size,layout,image,image_id,gold,pred,correct,us_tot,us,fps,accuracy,inferences,us_per_image,fps_run,im2col_us,transfer_us,gemm_us,other_us,pooling
cnn,vanilla,on,2,hybrid,0,6223,5,5,yes,435108,8702.16,114.91,6/6,300,8699.04,114.95,220,84,8002,393,450 0 0 0 871 3032
cnn,vanilla,on,2,hybrid,1,73380,2,2,yes,435200,8704.0,114.88,6/6,300,8699.04,114.95,220,84,8002,393,256 1823 2846 1881 1378 1
cnn,vanilla,on,2,hybrid,2,6744,4,4,yes,434997,8699.94,114.94,6/6,300,8699.04,114.95,220,84,8002,393,577 703 52 49 1689 0
cnn,vanilla,on,2,hybrid,3,66768,3,3,yes,434782,8695.64,115.0,6/6,300,8699.04,114.95,220,84,8002,393,102 1341 472 1928 846 18
cnn,vanilla,on,2,hybrid,4,79150,0,0,yes,435313,8706.26,114.85,6/6,300,8699.04,114.95,220,84,8002,393,2855 804 405 259 1467 243
cnn,vanilla,on,2,hybrid,6,76951,1,1,yes,434313,8686.26,115.12,6/6,300,8699.04,114.95,220,84,8002,393,0 3096 2239 2324 1961 0
cnn,vanilla,on,4,hybrid,0,6223,5,5,yes,249148,4982.96,200.68,6/6,300,4978.28,200.87,239,84,4248,407,450 0 0 0 871 3032
cnn,vanilla,on,4,hybrid,1,73380,2,2,yes,249180,4983.6,200.65,6/6,300,4978.28,200.87,239,84,4248,407,256 1823 2846 1881 1378 1
cnn,vanilla,on,4,hybrid,2,6744,4,4,yes,248890,4977.8,200.89,6/6,300,4978.28,200.87,239,84,4248,407,577 703 52 49 1689 0
cnn,vanilla,on,4,hybrid,3,66768,3,3,yes,248749,4974.98,201.0,6/6,300,4978.28,200.87,239,84,4248,407,102 1341 472 1928 846 18
cnn,vanilla,on,4,hybrid,4,79150,0,0,yes,249275,4985.5,200.58,6/6,300,4978.28,200.87,239,84,4248,407,2855 804 405 259 1467 243
cnn,vanilla,on,4,hybrid,6,76951,1,1,yes,248243,4964.86,201.41,6/6,300,4978.28,200.87,239,84,4248,407,0 3096 2239 2324 1961 0
cnn,vanilla,on,8,hybrid,0,6223,5,5,yes,154196,3083.92,324.26,6/6,300,3081.3,324.53,238,84,2355,404,450 0 0 0 871 3032
cnn,vanilla,on,8,hybrid,1,73380,2,2,yes,154301,3086.02,324.04,6/6,300,3081.3,324.53,238,84,2355,404,256 1823 2846 1881 1378 1
cnn,vanilla,on,8,hybrid,2,6744,4,4,yes,154095,3081.9,324.47,6/6,300,3081.3,324.53,238,84,2355,404,577 703 52 49 1689 0
cnn,vanilla,on,8,hybrid,3,66768,3,3,yes,153890,3077.8,324.9,6/6,300,3081.3,324.53,238,84,2355,404,102 1341 472 1928 846 18
cnn,vanilla,on,8,hybrid,4,79150,0,0,yes,154382,3087.64,323.87,6/6,300,3081.3,324.53,238,84,2355,404,2855 804 405 259 1467 243
cnn,vanilla,on,8,hybrid,6,76951,1,1,yes,153527,3070.54,325.67,6/6,300,3081.3,324.53,238,84,2355,404,0 3096 2239 2324 1961 0
cnn,vanilla,on,16,hybrid,0,6223,5,5,yes,114572,2291.44,436.4,6/6,300,2285.27,437.58,231,87,1564,403,450 0 0 0 871 3032
cnn,vanilla,on,16,hybrid,1,73380,2,2,yes,114530,2290.6,436.56,6/6,300,2285.27,437.58,231,87,1564,403,256 1823 2846 1881 1378 1
cnn,vanilla,on,16,hybrid,2,6744,4,4,yes,114241,2284.82,437.67,6/6,300,2285.27,437.58,231,87,1564,403,577 703 52 49 1689 0
cnn,vanilla,on,16,hybrid,3,66768,3,3,yes,114074,2281.48,438.31,6/6,300,2285.27,437.58,231,87,1564,403,102 1341 472 1928 846 18
cnn,vanilla,on,16,hybrid,4,79150,0,0,yes,114547,2290.94,436.5,6/6,300,2285.27,437.58,231,87,1564,403,2855 804 405 259 1467 243
cnn,vanilla,on,16,hybrid,6,76951,1,1,yes,113617,2272.34,440.07,6/6,300,2285.27,437.58,231,87,1564,403,0 3096 2239 2324 1961 0
