mode,variant,cache_i,sa_size,layout,image,image_id,gold,pred,correct,us_tot,us,fps,accuracy,inferences,us_per_image,fps_run,im2col_us,transfer_us,gemm_us,other_us,pooling
cnn,vanilla-nci,off,2,hybrid,0,6223,5,5,yes,751995,15039.9,66.48,6/6,300,15098.98,66.22,2474,194,8012,4418,450 0 0 0 871 3032
cnn,vanilla-nci,off,2,hybrid,1,73380,2,2,yes,758205,15164.1,65.94,6/6,300,15098.98,66.22,2474,194,8012,4418,256 1823 2846 1881 1378 1
cnn,vanilla-nci,off,2,hybrid,2,6744,4,4,yes,757064,15141.28,66.04,6/6,300,15098.98,66.22,2474,194,8012,4418,577 703 52 49 1689 0
cnn,vanilla-nci,off,2,hybrid,3,66768,3,3,yes,754809,15096.18,66.24,6/6,300,15098.98,66.22,2474,194,8012,4418,102 1341 472 1928 846 18
cnn,vanilla-nci,off,2,hybrid,4,79150,0,0,yes,756528,15130.56,66.09,6/6,300,15098.98,66.22,2474,194,8012,4418,2855 804 405 259 1467 243
cnn,vanilla-nci,off,2,hybrid,6,76951,1,1,yes,751094,15021.88,66.56,6/6,300,15098.98,66.22,2474,194,8012,4418,0 3096 2239 2324 1961 0
cnn,vanilla-nci,off,4,hybrid,0,6223,5,5,yes,621389,12427.78,80.46,6/6,300,12552.71,79.66,2445,195,4258,5654,450 0 0 0 871 3032
cnn,vanilla-nci,off,4,hybrid,1,73380,2,2,yes,629735,12594.7,79.39,6/6,300,12552.71,79.66,2445,195,4258,5654,256 1823 2846 1881 1378 1
cnn,vanilla-nci,off,4,hybrid,2,6744,4,4,yes,630852,12617.04,79.25,6/6,300,12552.71,79.66,2445,195,4258,5654,577 703 52 49 1689 0
cnn,vanilla-nci,off,4,hybrid,3,66768,3,3,yes,626749,12534.98,79.77,6/6,300,12552.71,79.66,2445,195,4258,5654,102 1341 472 1928 846 18
cnn,vanilla-nci,off,4,hybrid,4,79150,0,0,yes,629604,12592.08,79.41,6/6,300,12552.71,79.66,2445,195,4258,5654,2855 804 405 259 1467 243
cnn,vanilla-nci,off,4,hybrid,6,76951,1,1,yes,627486,12549.72,79.68,6/6,300,12552.71,79.66,2445,195,4258,5654,0 3096 2239 2324 1961 0
cnn,vanilla-nci,off,8,hybrid,0,6223,5,5,yes,530512,10610.24,94.24,6/6,300,10708.04,93.38,2443,194,2365,5706,450 0 0 0 871 3032
cnn,vanilla-nci,off,8,hybrid,1,73380,2,2,yes,538415,10768.3,92.86,6/6,300,10708.04,93.38,2443,194,2365,5706,256 1823 2846 1881 1378 1
cnn,vanilla-nci,off,8,hybrid,2,6744,4,4,yes,537420,10748.4,93.03,6/6,300,10708.04,93.38,2443,194,2365,5706,577 703 52 49 1689 0
cnn,vanilla-nci,off,8,hybrid,3,66768,3,3,yes,535089,10701.78,93.44,6/6,300,10708.04,93.38,2443,194,2365,5706,102 1341 472 1928 846 18
cnn,vanilla-nci,off,8,hybrid,4,79150,0,0,yes,537506,10750.12,93.02,6/6,300,10708.04,93.38,2443,194,2365,5706,2855 804 405 259 1467 243
cnn,vanilla-nci,off,8,hybrid,6,76951,1,1,yes,533472,10669.44,93.72,6/6,300,10708.04,93.38,2443,194,2365,5706,0 3096 2239 2324 1961 0
cnn,vanilla-nci,off,16,hybrid,0,6223,5,5,yes,421223,8424.46,118.7,6/6,300,8464.56,118.13,2196,196,1575,4497,450 0 0 0 871 3032
cnn,vanilla-nci,off,16,hybrid,1,73380,2,2,yes,426368,8527.36,117.26,6/6,300,8464.56,118.13,2196,196,1575,4497,256 1823 2846 1881 1378 1
cnn,vanilla-nci,off,16,hybrid,2,6744,4,4,yes,425241,8504.82,117.58,6/6,300,8464.56,118.13,2196,196,1575,4497,577 703 52 49 1689 0
cnn,vanilla-nci,off,16,hybrid,3,66768,3,3,yes,422961,8459.22,118.21,6/6,300,8464.56,118.13,2196,196,1575,4497,102 1341 472 1928 846 18
cnn,vanilla-nci,off,16,hybrid,4,79150,0,0,yes,425331,8506.62,117.55,6/6,300,8464.56,118.13,2196,196,1575,4497,2855 804 405 259 1467 243
cnn,vanilla-nci,off,16,hybrid,6,76951,1,1,yes,418246,8364.92,119.54,6/6,300,8464.56,118.13,2196,196,1575,4497,0 3096 2239 2324 1961 0
