mode,variant,cache_i,sa_size,layout,image,image_id,gold,pred,correct,us_tot,us,fps,accuracy,inferences,us_per_image,fps_run,im2col_us,transfer_us,gemm_us,other_us,pooling
cnn,vanilla-nci,off,2,ocm,0,6223,5,5,yes,1004179,20083.58,49.79,6/6,300,20211.28,49.47,2550,194,11496,5971,450 0 0 0 871 3032
cnn,vanilla-nci,off,2,ocm,1,73380,2,2,yes,1012789,20255.78,49.36,6/6,300,20211.28,49.47,2550,194,11496,5971,256 1823 2846 1881 1378 1
cnn,vanilla-nci,off,2,ocm,2,6744,4,4,yes,1013698,20273.96,49.32,6/6,300,20211.28,49.47,2550,194,11496,5971,577 703 52 49 1689 0
cnn,vanilla-nci,off,2,ocm,3,66768,3,3,yes,1009831,20196.62,49.51,6/6,300,20211.28,49.47,2550,194,11496,5971,102 1341 472 1928 846 18
cnn,vanilla-nci,off,2,ocm,4,79150,0,0,yes,1012222,20244.44,49.39,6/6,300,20211.28,49.47,2550,194,11496,5971,2855 804 405 259 1467 243
cnn,vanilla-nci,off,2,ocm,6,76951,1,1,yes,1010666,20213.32,49.47,6/6,300,20211.28,49.47,2550,194,11496,5971,0 3096 2239 2324 1961 0
cnn,vanilla-nci,off,4,ocm,0,6223,5,5,yes,688142,13762.84,72.65,6/6,300,13841.29,72.24,2491,194,6053,5103,450 0 0 0 871 3032
cnn,vanilla-nci,off,4,ocm,1,73380,2,2,yes,693747,13874.94,72.07,6/6,300,13841.29,72.24,2491,194,6053,5103,256 1823 2846 1881 1378 1
cnn,vanilla-nci,off,4,ocm,2,6744,4,4,yes,694530,13890.6,71.99,6/6,300,13841.29,72.24,2491,194,6053,5103,577 703 52 49 1689 0
cnn,vanilla-nci,off,4,ocm,3,66768,3,3,yes,691167,13823.34,72.34,6/6,300,13841.29,72.24,2491,194,6053,5103,102 1341 472 1928 846 18
cnn,vanilla-nci,off,4,ocm,4,79150,0,0,yes,693384,13867.68,72.11,6/6,300,13841.29,72.24,2491,194,6053,5103,2855 804 405 259 1467 243
cnn,vanilla-nci,off,4,ocm,6,76951,1,1,yes,691418,13828.36,72.31,6/6,300,13841.29,72.24,2491,194,6053,5103,0 3096 2239 2324 1961 0
cnn,vanilla-nci,off,8,ocm,0,6223,5,5,yes,547966,10959.32,91.24,6/6,300,11066.37,90.36,2493,194,3249,5130,450 0 0 0 871 3032
cnn,vanilla-nci,off,8,ocm,1,73380,2,2,yes,555856,11117.12,89.95,6/6,300,11066.37,90.36,2493,194,3249,5130,256 1823 2846 1881 1378 1
cnn,vanilla-nci,off,8,ocm,2,6744,4,4,yes,555645,11112.9,89.98,6/6,300,11066.37,90.36,2493,194,3249,5130,577 703 52 49 1689 0
cnn,vanilla-nci,off,8,ocm,3,66768,3,3,yes,553232,11064.64,90.37,6/6,300,11066.37,90.36,2493,194,3249,5130,102 1341 472 1928 846 18
cnn,vanilla-nci,off,8,ocm,4,79150,0,0,yes,555392,11107.84,90.02,6/6,300,11066.37,90.36,2493,194,3249,5130,2855 804 405 259 1467 243
cnn,vanilla-nci,off,8,ocm,6,76951,1,1,yes,551822,11036.44,90.6,6/6,300,11066.37,90.36,2493,194,3249,5130,0 3096 2239 2324 1961 0
cnn,vanilla-nci,off,16,ocm,0,6223,5,5,yes,524070,10481.4,95.4,6/6,300,10582.42,94.49,2532,199,2112,5739,450 0 0 0 871 3032
cnn,vanilla-nci,off,16,ocm,1,73380,2,2,yes,532167,10643.34,93.95,6/6,300,10582.42,94.49,2532,199,2112,5739,256 1823 2846 1881 1378 1
cnn,vanilla-nci,off,16,ocm,2,6744,4,4,yes,531437,10628.74,94.08,6/6,300,10582.42,94.49,2532,199,2112,5739,577 703 52 49 1689 0
cnn,vanilla-nci,off,16,ocm,3,66768,3,3,yes,527008,10540.16,94.87,6/6,300,10582.42,94.49,2532,199,2112,5739,102 1341 472 1928 846 18
cnn,vanilla-nci,off,16,ocm,4,79150,0,0,yes,532102,10642.04,93.96,6/6,300,10582.42,94.49,2532,199,2112,5739,2855 804 405 259 1467 243
cnn,vanilla-nci,off,16,ocm,6,76951,1,1,yes,527943,10558.86,94.7,6/6,300,10582.42,94.49,2532,199,2112,5739,0 3096 2239 2324 1961 0
