mode,variant,cache_i,sa_size,layout,case,P,Q,M,tiles,k_it,us_tot,us,cyc_kit,checksum,check
free,vanilla,on,2,hybrid,free,2,2,2,1,4,396,3.96,99,0x6ACA64F5,ok
free,vanilla,on,2,hybrid,free,2,2,4,1,6,396,3.96,66,0x25E1B2C5,ok
free,vanilla,on,2,hybrid,free,2,2,8,1,10,396,3.96,39,0xF76182D3,ok
free,vanilla,on,2,hybrid,free,2,2,16,1,18,538,5.38,29,0x3B2B06C6,ok
free,vanilla,on,2,hybrid,free,2,2,32,1,34,677,6.77,19,0x90808DA2,ok
free,vanilla,on,2,hybrid,free,2,2,64,1,66,940,9.4,14,0x394BCFC1,ok
free,vanilla,on,2,hybrid,free,2,2,128,1,130,1371,13.71,10,0xE3EF615C,ok
free,vanilla,on,2,hybrid,free,16,16,2,64,4,5941,59.41,23,0xACAD8D17,ok
free,vanilla,on,2,hybrid,free,32,16,2,128,4,11510,115.1,22,0x51DA4E14,ok
free,vanilla,on,2,hybrid,free,64,16,2,256,4,22758,227.58,22,0x724FF13C,ok
free,vanilla,on,2,hybrid,free,128,16,2,512,4,45224,452.24,22,0x308F9B06,ok
free,vanilla,on,2,hybrid,free,16,16,4,64,6,6913,69.13,18,0x5853D964,ok
free,vanilla,on,2,hybrid,free,32,16,4,128,6,13591,135.91,17,0xD6455C5E,ok
free,vanilla,on,2,hybrid,free,64,16,4,256,6,26781,267.81,17,0xA5FB6CC5,ok
free,vanilla,on,2,hybrid,free,128,16,4,512,6,53305,533.05,17,0x871B3EE4,ok
free,vanilla,on,2,hybrid,free,16,16,8,64,10,9012,90.12,14,0x0C9F79BB,ok
free,vanilla,on,2,hybrid,free,32,16,8,128,10,17627,176.27,13,0x10449F1F,ok
free,vanilla,on,2,hybrid,free,64,16,8,256,10,34955,349.55,13,0x47702AFB,ok
free,vanilla,on,2,hybrid,free,128,16,8,512,10,69447,694.47,13,0x46506690,ok
free,vanilla,on,2,hybrid,free,16,16,16,64,18,13045,130.45,11,0x45E151C6,ok
free,vanilla,on,2,hybrid,free,32,16,16,128,18,25951,259.51,11,0xF768DDA3,ok
free,vanilla,on,2,hybrid,free,64,16,16,256,18,51541,515.41,11,0xBD9FC448,ok
free,vanilla,on,2,hybrid,free,128,16,16,512,18,102686,1026.86,11,0xB19A24B6,ok
free,vanilla,on,2,hybrid,free,16,16,64,64,66,37675,376.75,8,0xD6C5F919,ok
free,vanilla,on,2,hybrid,free,32,16,64,128,66,75140,751.4,8,0x3F92C6E8,ok
free,vanilla,on,2,hybrid,free,64,16,64,256,66,149915,1499.15,8,0x16FAF822,ok
free,vanilla,on,2,hybrid,free,16,32,2,128,4,11509,115.09,22,0xF35CFBC6,ok
free,vanilla,on,2,hybrid,free,16,64,2,256,4,22758,227.58,22,0x8C82F0F9,ok
free,vanilla,on,2,hybrid,free,16,128,2,512,4,45260,452.6,22,0x8751098A,ok
free,vanilla,on,2,hybrid,free,16,32,4,128,6,13564,135.64,17,0x1647889A,ok
free,vanilla,on,2,hybrid,free,16,64,4,256,6,26780,267.8,17,0xC6A3DC5F,ok
free,vanilla,on,2,hybrid,free,16,128,4,512,6,53334,533.34,17,0xA4FF57D6,ok
free,vanilla,on,2,hybrid,free,16,32,8,128,10,17627,176.27,13,0x80C45CA8,ok
free,vanilla,on,2,hybrid,free,16,64,8,256,10,34854,348.54,13,0x2DDF9BAC,ok
free,vanilla,on,2,hybrid,free,16,128,8,512,10,69447,694.47,13,0x0BD2FFD8,ok
free,vanilla,on,2,hybrid,free,16,32,16,128,18,25902,259.02,11,0xA8A16076,ok
free,vanilla,on,2,hybrid,free,16,64,16,256,18,51521,515.21,11,0x0C604263,ok
free,vanilla,on,2,hybrid,free,16,128,16,512,18,102716,1027.16,11,0xD529CA1C,ok
free,vanilla,on,2,hybrid,free,16,32,64,128,66,75146,751.46,8,0xA6923FCB,ok
free,vanilla,on,2,hybrid,free,16,64,64,256,66,149913,1499.13,8,0x8CCCA231,ok
free,vanilla,on,2,hybrid,free,16,128,64,512,66,299457,2994.57,8,0xB15FA9FD,ok
free,vanilla,on,4,hybrid,free,4,4,2,1,8,538,5.38,67,0x17A031FC,ok
free,vanilla,on,4,hybrid,free,4,4,4,1,10,537,5.37,53,0x31AD1F20,ok
free,vanilla,on,4,hybrid,free,4,4,8,1,14,537,5.37,38,0xCAFBB96C,ok
free,vanilla,on,4,hybrid,free,4,4,16,1,22,677,6.77,30,0x97AC96B0,ok
free,vanilla,on,4,hybrid,free,4,4,32,1,38,953,9.53,25,0x5B0A8633,ok
free,vanilla,on,4,hybrid,free,4,4,64,1,70,1509,15.09,21,0xA456C9E5,ok
free,vanilla,on,4,hybrid,free,4,4,128,1,134,2480,24.8,18,0xC5B8D5B4,ok
free,vanilla,on,4,hybrid,free,16,16,2,16,8,3337,33.37,26,0xACAD8D17,ok
free,vanilla,on,4,hybrid,free,32,16,2,32,8,6498,64.98,25,0x51DA4E14,ok
free,vanilla,on,4,hybrid,free,64,16,2,64,8,12613,126.13,24,0x724FF13C,ok
free,vanilla,on,4,hybrid,free,128,16,2,128,8,24867,248.67,24,0x308F9B06,ok
free,vanilla,on,4,hybrid,free,16,16,4,16,10,3863,38.63,24,0x5853D964,ok
free,vanilla,on,4,hybrid,free,32,16,4,32,10,7466,74.66,23,0xD6455C5E,ok
free,vanilla,on,4,hybrid,free,64,16,4,64,10,14550,145.5,22,0xA5FB6CC5,ok
free,vanilla,on,4,hybrid,free,128,16,4,128,10,28802,288.02,22,0x871B3EE4,ok
free,vanilla,on,4,hybrid,free,16,16,8,16,14,4843,48.43,21,0x0C9F79BB,ok
free,vanilla,on,4,hybrid,free,32,16,8,32,14,9423,94.23,21,0x10449F1F,ok
free,vanilla,on,4,hybrid,free,64,16,8,64,14,18555,185.55,20,0x47702AFB,ok
free,vanilla,on,4,hybrid,free,128,16,8,128,14,36848,368.48,20,0x46506690,ok
free,vanilla,on,4,hybrid,free,16,16,16,16,22,6924,69.24,19,0x45E151C6,ok
free,vanilla,on,4,hybrid,free,32,16,16,32,22,13591,135.91,19,0xF768DDA3,ok
free,vanilla,on,4,hybrid,free,64,16,16,64,22,26866,268.66,19,0xBD9FC448,ok
free,vanilla,on,4,hybrid,free,128,16,16,128,22,53402,534.02,18,0xB19A24B6,ok
free,vanilla,on,4,hybrid,free,16,16,64,16,70,19275,192.75,17,0xD6C5F919,ok
free,vanilla,on,4,hybrid,free,32,16,64,32,70,38142,381.42,17,0x3F92C6E8,ok
free,vanilla,on,4,hybrid,free,64,16,64,64,70,75956,759.56,16,0x16FAF822,ok
free,vanilla,on,4,hybrid,free,16,32,2,32,8,6497,64.97,25,0xF35CFBC6,ok
free,vanilla,on,4,hybrid,free,16,64,2,64,8,12613,126.13,24,0x8C82F0F9,ok
free,vanilla,on,4,hybrid,free,16,128,2,128,8,24870,248.7,24,0x8751098A,ok
free,vanilla,on,4,hybrid,free,16,32,4,32,10,7479,74.79,23,0x1647889A,ok
free,vanilla,on,4,hybrid,free,16,64,4,64,10,14559,145.59,22,0xC6A3DC5F,ok
free,vanilla,on,4,hybrid,free,16,128,4,128,10,28855,288.55,22,0xA4FF57D6,ok
free,vanilla,on,4,hybrid,free,16,32,8,32,14,9424,94.24,21,0x80C45CA8,ok
free,vanilla,on,4,hybrid,free,16,64,8,64,14,18579,185.79,20,0x2DDF9BAC,ok
free,vanilla,on,4,hybrid,free,16,128,8,128,14,36919,369.19,20,0x0BD2FFD8,ok
free,vanilla,on,4,hybrid,free,16,32,16,32,22,13588,135.88,19,0xA8A16076,ok
free,vanilla,on,4,hybrid,free,16,64,16,64,22,26865,268.65,19,0x0C604263,ok
free,vanilla,on,4,hybrid,free,16,128,16,128,22,53401,534.01,18,0xD529CA1C,ok
free,vanilla,on,4,hybrid,free,16,32,64,32,70,38177,381.77,17,0xA6923FCB,ok
free,vanilla,on,4,hybrid,free,16,64,64,64,70,75956,759.56,16,0x8CCCA231,ok
free,vanilla,on,4,hybrid,free,16,128,64,128,70,151649,1516.49,16,0xB15FA9FD,ok
free,vanilla,on,8,hybrid,free,8,8,2,1,16,953,9.53,59,0x9D073368,ok
free,vanilla,on,8,hybrid,free,8,8,4,1,18,1084,10.84,60,0x3B2ED320,ok
free,vanilla,on,8,hybrid,free,8,8,8,1,22,1092,10.92,49,0xAAC69161,ok
free,vanilla,on,8,hybrid,free,8,8,16,1,30,1371,13.71,45,0xD0E8EC24,ok
free,vanilla,on,8,hybrid,free,8,8,32,1,46,1927,19.27,41,0x9B1D6EDB,ok
free,vanilla,on,8,hybrid,free,8,8,64,1,78,2899,28.99,37,0x802216F2,ok
free,vanilla,on,8,hybrid,free,8,8,128,1,142,4978,49.78,35,0x1A2E2D76,ok
free,vanilla,on,8,hybrid,free,16,16,2,4,16,3035,30.35,47,0xACAD8D17,ok
free,vanilla,on,8,hybrid,free,32,16,2,8,16,5671,56.71,44,0x51DA4E14,ok
free,vanilla,on,8,hybrid,free,64,16,2,16,16,11080,110.8,43,0x724FF13C,ok
free,vanilla,on,8,hybrid,free,128,16,2,32,16,21768,217.68,42,0x308F9B06,ok
free,vanilla,on,8,hybrid,free,16,16,4,4,18,3175,31.75,44,0x5853D964,ok
free,vanilla,on,8,hybrid,free,32,16,4,8,18,6079,60.79,42,0xD6455C5E,ok
free,vanilla,on,8,hybrid,free,64,16,4,16,18,11781,117.81,40,0xA5FB6CC5,ok
free,vanilla,on,8,hybrid,free,128,16,4,32,18,23434,234.34,40,0x871B3EE4,ok
free,vanilla,on,8,hybrid,free,16,16,8,4,22,3589,35.89,40,0x0C9F79BB,ok
free,vanilla,on,8,hybrid,free,32,16,8,8,22,6923,69.23,39,0x10449F1F,ok
free,vanilla,on,8,hybrid,free,64,16,8,16,22,13586,135.86,38,0x47702AFB,ok
free,vanilla,on,8,hybrid,free,128,16,8,32,22,26866,268.66,38,0x46506690,ok
free,vanilla,on,8,hybrid,free,16,16,16,4,30,4701,47.01,39,0x45E151C6,ok
free,vanilla,on,8,hybrid,free,32,16,16,8,30,9006,90.06,37,0xF768DDA3,ok
free,vanilla,on,8,hybrid,free,64,16,16,16,30,17721,177.21,36,0xBD9FC448,ok
free,vanilla,on,8,hybrid,free,128,16,16,32,30,35109,351.09,36,0xB19A24B6,ok
free,vanilla,on,8,hybrid,free,16,16,64,4,78,10807,108.07,34,0xD6C5F919,ok
free,vanilla,on,8,hybrid,free,32,16,64,8,78,21349,213.49,34,0x3F92C6E8,ok
free,vanilla,on,8,hybrid,free,64,16,64,16,78,42302,423.02,33,0x16FAF822,ok
free,vanilla,on,8,hybrid,free,16,32,2,8,16,5672,56.72,44,0xF35CFBC6,ok
free,vanilla,on,8,hybrid,free,16,64,2,16,16,11066,110.66,43,0x8C82F0F9,ok
free,vanilla,on,8,hybrid,free,16,128,2,32,16,21732,217.32,42,0x8751098A,ok
free,vanilla,on,8,hybrid,free,16,32,4,8,18,6089,60.89,42,0x1647889A,ok
free,vanilla,on,8,hybrid,free,16,64,4,16,18,11893,118.93,41,0xC6A3DC5F,ok
free,vanilla,on,8,hybrid,free,16,128,4,32,18,23427,234.27,40,0xA4FF57D6,ok
free,vanilla,on,8,hybrid,free,16,32,8,8,22,6922,69.22,39,0x80C45CA8,ok
free,vanilla,on,8,hybrid,free,16,64,8,16,22,13579,135.79,38,0x2DDF9BAC,ok
free,vanilla,on,8,hybrid,free,16,128,8,32,22,26779,267.79,38,0x0BD2FFD8,ok
free,vanilla,on,8,hybrid,free,16,32,16,8,30,8990,89.9,37,0xA8A16076,ok
free,vanilla,on,8,hybrid,free,16,64,16,16,30,17751,177.51,36,0x0C604263,ok
free,vanilla,on,8,hybrid,free,16,128,16,32,30,35043,350.43,36,0xD529CA1C,ok
free,vanilla,on,8,hybrid,free,16,32,64,8,78,21327,213.27,34,0xA6923FCB,ok
free,vanilla,on,8,hybrid,free,16,64,64,16,78,42346,423.46,33,0x8CCCA231,ok
free,vanilla,on,8,hybrid,free,16,128,64,32,78,84260,842.6,33,0xB15FA9FD,ok
free,vanilla,on,16,hybrid,free,16,16,2,1,32,2204,22.04,68,0xACAD8D17,ok
free,vanilla,on,16,hybrid,free,16,16,4,1,34,2342,23.42,68,0x5853D964,ok
free,vanilla,on,16,hybrid,free,16,16,8,1,38,2758,27.58,72,0x0C9F79BB,ok
free,vanilla,on,16,hybrid,free,16,16,16,1,46,3175,31.75,69,0x45E151C6,ok
free,vanilla,on,16,hybrid,free,16,16,32,1,62,4287,42.87,69,0xD0F8E218,ok
free,vanilla,on,16,hybrid,free,16,16,64,1,94,6232,62.32,66,0xD6C5F919,ok
free,vanilla,on,16,hybrid,free,16,16,128,1,158,10401,104.01,65,0x03E10E44,ok
free,vanilla,on,16,hybrid,free,16,16,2,1,32,2203,22.03,68,0xACAD8D17,ok
free,vanilla,on,16,hybrid,free,32,16,2,2,32,4146,41.46,64,0x51DA4E14,ok
free,vanilla,on,16,hybrid,free,64,16,2,4,32,8030,80.3,62,0x724FF13C,ok
free,vanilla,on,16,hybrid,free,128,16,2,8,32,15750,157.5,61,0x308F9B06,ok
free,vanilla,on,16,hybrid,free,16,16,4,1,34,2342,23.42,68,0x5853D964,ok
free,vanilla,on,16,hybrid,free,32,16,4,2,34,4424,44.24,65,0xD6455C5E,ok
free,vanilla,on,16,hybrid,free,64,16,4,4,34,8586,85.86,63,0xA5FB6CC5,ok
free,vanilla,on,16,hybrid,free,128,16,4,8,34,16953,169.53,62,0x871B3EE4,ok
free,vanilla,on,16,hybrid,free,16,16,8,1,38,2758,27.58,72,0x0C9F79BB,ok
free,vanilla,on,16,hybrid,free,32,16,8,2,38,5118,51.18,67,0x10449F1F,ok
free,vanilla,on,16,hybrid,free,64,16,8,4,38,9836,98.36,64,0x47702AFB,ok
free,vanilla,on,16,hybrid,free,128,16,8,8,38,19481,194.81,64,0x46506690,ok
