mode,variant,cache_i,sa_size,layout,case,P,Q,M,tiles,k_it,us_tot,us,cyc_kit,checksum,check
free,vanilla,on,2,ocm,free,2,2,2,1,4,399,3.99,99,0x6ACA64F5,ok
free,vanilla,on,2,ocm,free,2,2,4,1,6,398,3.98,66,0x25E1B2C5,ok
free,vanilla,on,2,ocm,free,2,2,8,1,10,540,5.4,54,0xF76182D3,ok
free,vanilla,on,2,ocm,free,2,2,16,1,18,540,5.4,30,0x3B2B06C6,ok
free,vanilla,on,2,ocm,free,2,2,32,1,34,819,8.19,24,0x90808DA2,ok
free,vanilla,on,2,ocm,free,2,2,64,1,66,1098,10.98,16,0x394BCFC1,ok
free,vanilla,on,2,ocm,free,2,2,128,1,130,1936,19.36,14,0xE3EF615C,ok
free,vanilla,on,2,ocm,free,16,16,2,64,4,6406,64.06,25,0xACAD8D17,ok
free,vanilla,on,2,ocm,free,32,16,2,128,4,12409,124.09,24,0x51DA4E14,ok
free,vanilla,on,2,ocm,free,64,16,2,256,4,24558,245.58,23,0x724FF13C,ok
free,vanilla,on,2,ocm,free,128,16,2,512,4,48715,487.15,23,0x308F9B06,ok
free,vanilla,on,2,ocm,free,16,16,4,64,6,7947,79.47,20,0x5853D964,ok
free,vanilla,on,2,ocm,free,32,16,4,128,6,15481,154.81,20,0xD6455C5E,ok
free,vanilla,on,2,ocm,free,64,16,4,256,6,30702,307.02,19,0xA5FB6CC5,ok
free,vanilla,on,2,ocm,free,128,16,4,512,6,61203,612.03,19,0x871B3EE4,ok
free,vanilla,on,2,ocm,free,16,16,8,64,10,11022,110.22,17,0x0C9F79BB,ok
free,vanilla,on,2,ocm,free,32,16,8,128,10,21649,216.49,16,0x10449F1F,ok
free,vanilla,on,2,ocm,free,64,16,8,256,10,42990,429.9,16,0x47702AFB,ok
free,vanilla,on,2,ocm,free,128,16,8,512,10,85655,856.55,16,0x46506690,ok
free,vanilla,on,2,ocm,free,16,16,16,64,18,17157,171.57,14,0x45E151C6,ok
free,vanilla,on,2,ocm,free,32,16,16,128,18,33964,339.64,14,0xF768DDA3,ok
free,vanilla,on,2,ocm,free,64,16,16,256,18,67707,677.07,14,0xBD9FC448,ok
free,vanilla,on,2,ocm,free,128,16,16,512,18,135013,1350.13,14,0xB19A24B6,ok
