sa_size,layout,case,P,Q,M,us,check
2,bram,g1_8x8,8,8,8,22,ok
2,bram,g1_16x16,16,16,16,119,ok
2,bram,g1_32x32,32,32,32,797,ok
2,bram,g1_64x64,64,64,64,5805,ok
2,bram,g2_16x8,16,8,8,41,ok
2,bram,g2_64x8,64,8,8,153,ok
2,bram,g2_256x8,256,8,8,607,ok
2,bram,g2_64x16,64,16,16,469,ok
2,bram,g2_256x16,256,16,16,1868,ok
2,bram,g2_64x32,64,32,32,1591,ok
2,bram,g3_8x16,8,16,16,60,ok
2,bram,g3_8x64,8,64,64,728,ok
2,bram,g3_16x64,16,64,64,1454,ok
2,bram,g3_32x64,32,64,64,2903,ok
4,bram,g1_8x8,8,8,8,13,ok
4,bram,g1_16x16,16,16,16,62,ok
4,bram,g1_32x32,32,32,32,404,ok
4,bram,g1_64x64,64,64,64,2919,ok
4,bram,g2_16x8,16,8,8,22,ok
4,bram,g2_64x8,64,8,8,80,ok
4,bram,g2_256x8,256,8,8,313,ok
4,bram,g2_64x16,64,16,16,239,ok
4,bram,g2_256x16,256,16,16,951,ok
4,bram,g2_64x32,64,32,32,805,ok
4,bram,g3_8x16,8,16,16,33,ok
4,bram,g3_8x64,8,64,64,367,ok
4,bram,g3_16x64,16,64,64,732,ok
4,bram,g3_32x64,32,64,64,1461,ok
8,bram,g1_8x8,8,8,8,10,ok
8,bram,g1_16x16,16,16,16,40,ok
8,bram,g1_32x32,32,32,32,233,ok
8,bram,g1_64x64,64,64,64,1578,ok
8,bram,g2_16x8,16,8,8,16,ok
8,bram,g2_64x8,64,8,8,56,ok
8,bram,g2_256x8,256,8,8,216,ok
8,bram,g2_64x16,64,16,16,151,ok
8,bram,g2_256x16,256,16,16,595,ok
8,bram,g2_64x32,64,32,32,462,ok
8,bram,g3_8x16,8,16,16,22,ok
8,bram,g3_8x64,8,64,64,200,ok
8,bram,g3_16x64,16,64,64,397,ok
8,bram,g3_32x64,32,64,64,791,ok
16,bram,g1_16x16,16,16,16,29,ok
16,bram,g1_32x32,32,32,32,146,ok
16,bram,g1_64x64,64,64,64,902,ok
16,bram,g2_64x16,64,16,16,105,ok
16,bram,g2_256x16,256,16,16,411,ok
16,bram,g2_64x32,64,32,32,288,ok
16,bram,g3_16x64,16,64,64,228,ok
16,bram,g3_32x64,32,64,64,452,ok
