sa_size,layout,case,P,Q,M,us,check
2,hybrid,g1_8x8,8,8,8,25,ok
2,hybrid,g1_16x16,16,16,16,130,ok
2,hybrid,g1_32x32,32,32,32,843,ok
2,hybrid,g1_64x64,64,64,64,5986,ok
2,hybrid,g2_16x8,16,8,8,45,ok
2,hybrid,g2_64x8,64,8,8,176,ok
2,hybrid,g2_256x8,256,8,8,695,ok
2,hybrid,g2_64x16,64,16,16,515,ok
2,hybrid,g2_256x16,256,16,16,2050,ok
2,hybrid,g2_64x32,64,32,32,1683,ok
2,hybrid,g3_8x16,8,16,16,66,ok
2,hybrid,g3_8x64,8,64,64,751,ok
2,hybrid,g3_16x64,16,64,64,1498,ok
2,hybrid,g3_32x64,32,64,64,2995,ok
4,hybrid,g1_8x8,8,8,8,14,ok
4,hybrid,g1_16x16,16,16,16,69,ok
4,hybrid,g1_32x32,32,32,32,432,ok
4,hybrid,g1_64x64,64,64,64,3031,ok
4,hybrid,g2_16x8,16,8,8,26,ok
4,hybrid,g2_64x8,64,8,8,94,ok
4,hybrid,g2_256x8,256,8,8,369,ok
4,hybrid,g2_64x16,64,16,16,267,ok
4,hybrid,g2_256x16,256,16,16,1064,ok
4,hybrid,g2_64x32,64,32,32,861,ok
4,hybrid,g3_8x16,8,16,16,35,ok
4,hybrid,g3_8x64,8,64,64,381,ok
4,hybrid,g3_16x64,16,64,64,759,ok
4,hybrid,g3_32x64,32,64,64,1517,ok
8,hybrid,g1_8x8,8,8,8,11,ok
8,hybrid,g1_16x16,16,16,16,47,ok
8,hybrid,g1_32x32,32,32,32,259,ok
8,hybrid,g1_64x64,64,64,64,1684,ok
8,hybrid,g2_16x8,16,8,8,19,ok
8,hybrid,g2_64x8,64,8,8,69,ok
8,hybrid,g2_256x8,256,8,8,269,ok
8,hybrid,g2_64x16,64,16,16,177,ok
8,hybrid,g2_256x16,256,16,16,700,ok
8,hybrid,g2_64x32,64,32,32,516,ok
8,hybrid,g3_8x16,8,16,16,24,ok
8,hybrid,g3_8x64,8,64,64,213,ok
8,hybrid,g3_16x64,16,64,64,423,ok
8,hybrid,g3_32x64,32,64,64,844,ok
16,hybrid,g1_16x16,16,16,16,33,ok
16,hybrid,g1_32x32,32,32,32,161,ok
16,hybrid,g1_64x64,64,64,64,961,ok
16,hybrid,g2_64x16,64,16,16,119,ok
16,hybrid,g2_256x16,256,16,16,469,ok
16,hybrid,g2_64x32,64,32,32,318,ok
16,hybrid,g3_16x64,16,64,64,243,ok
16,hybrid,g3_32x64,32,64,64,482,ok
