sa_size,layout,case,P,Q,M,us,check
2,ocm,g1_8x8,8,8,8,31,ok
2,ocm,g1_16x16,16,16,16,171,ok
2,ocm,g1_32x32,32,32,32,1167,ok
2,ocm,g1_64x64,64,64,64,8600,ok
2,ocm,g2_16x8,16,8,8,55,ok
2,ocm,g2_64x8,64,8,8,216,ok
2,ocm,g2_256x8,256,8,8,856,ok
2,ocm,g2_64x16,64,16,16,676,ok
2,ocm,g2_256x16,256,16,16,2696,ok
2,ocm,g2_64x32,64,32,32,2332,ok
2,ocm,g3_8x16,8,16,16,88,ok
2,ocm,g3_8x64,8,64,64,1077,ok
2,ocm,g3_16x64,16,64,64,2152,ok
2,ocm,g3_32x64,32,64,64,4301,ok
4,ocm,g1_8x8,8,8,8,17,ok
4,ocm,g1_16x16,16,16,16,88,ok
4,ocm,g1_32x32,32,32,32,589,ok
4,ocm,g1_64x64,64,64,64,4311,ok
4,ocm,g2_16x8,16,8,8,30,ok
4,ocm,g2_64x8,64,8,8,112,ok
4,ocm,g2_256x8,256,8,8,436,ok
4,ocm,g2_64x16,64,16,16,342,ok
4,ocm,g2_256x16,256,16,16,1363,ok
4,ocm,g2_64x32,64,32,32,1174,ok
4,ocm,g3_8x16,8,16,16,46,ok
4,ocm,g3_8x64,8,64,64,541,ok
4,ocm,g3_16x64,16,64,64,1080,ok
4,ocm,g3_32x64,32,64,64,2156,ok
8,ocm,g1_8x8,8,8,8,13,ok
8,ocm,g1_16x16,16,16,16,56,ok
8,ocm,g1_32x32,32,32,32,335,ok
8,ocm,g1_64x64,64,64,64,2315,ok
8,ocm,g2_16x8,16,8,8,22,ok
8,ocm,g2_64x8,64,8,8,76,ok
8,ocm,g2_256x8,256,8,8,298,ok
8,ocm,g2_64x16,64,16,16,212,ok
8,ocm,g2_256x16,256,16,16,839,ok
8,ocm,g2_64x32,64,32,32,667,ok
8,ocm,g3_8x16,8,16,16,29,ok
8,ocm,g3_8x64,8,64,64,292,ok
8,ocm,g3_16x64,16,64,64,581,ok
8,ocm,g3_32x64,32,64,64,1159,ok
16,ocm,g1_16x16,16,16,16,37,ok
16,ocm,g1_32x32,32,32,32,200,ok
16,ocm,g1_64x64,64,64,64,1280,ok
16,ocm,g2_64x16,64,16,16,137,ok
16,ocm,g2_256x16,256,16,16,541,ok
16,ocm,g2_64x32,64,32,32,395,ok
16,ocm,g3_16x64,16,64,64,322,ok
16,ocm,g3_32x64,32,64,64,640,ok
