mode,variant,cache_i,sa_size,layout,case,P,Q,M,tiles,k_it,us_tot,us,cyc_kit,checksum,check
bench,vanilla-nci,off,2,bram,g1_8x8,8,8,8,,,,24.98,,,ok
bench,vanilla-nci,off,2,bram,g1_16x16,16,16,16,,,,123.79,,,ok
bench,vanilla-nci,off,2,bram,g1_32x32,32,32,32,,,,800.41,,,ok
bench,vanilla-nci,off,2,bram,g1_64x64,64,64,64,,,,5810.36,,,ok
bench,vanilla-nci,off,2,bram,g2_16x8,16,8,8,,,,43.99,,,ok
bench,vanilla-nci,off,2,bram,g2_64x8,64,8,8,,,,158.0,,,ok
bench,vanilla-nci,off,2,bram,g2_256x8,256,8,8,,,,610.87,,,ok
bench,vanilla-nci,off,2,bram,g2_64x16,64,16,16,,,,473.49,,,ok
bench,vanilla-nci,off,2,bram,g2_256x16,256,16,16,,,,1872.34,,,ok
bench,vanilla-nci,off,2,bram,g2_64x32,64,32,32,,,,1594.83,,,ok
bench,vanilla-nci,off,2,bram,g3_8x16,8,16,16,,,,66.79,,,ok
bench,vanilla-nci,off,2,bram,g3_8x64,8,64,64,,,,731.98,,,ok
bench,vanilla-nci,off,2,bram,g3_16x64,16,64,64,,,,1458.01,,,ok
bench,vanilla-nci,off,2,bram,g3_32x64,32,64,64,,,,2908.09,,,ok
bench,vanilla-nci,off,4,bram,g1_8x8,8,8,8,,,,17.36,,,ok
bench,vanilla-nci,off,4,bram,g1_16x16,16,16,16,,,,66.77,,,ok
bench,vanilla-nci,off,4,bram,g1_32x32,32,32,32,,,,408.91,,,ok
bench,vanilla-nci,off,4,bram,g1_64x64,64,64,64,,,,2924.55,,,ok
bench,vanilla-nci,off,4,bram,g2_16x8,16,8,8,,,,25.26,,,ok
bench,vanilla-nci,off,4,bram,g2_64x8,64,8,8,,,,85.81,,,ok
bench,vanilla-nci,off,4,bram,g2_256x8,256,8,8,,,,317.64,,,ok
bench,vanilla-nci,off,4,bram,g2_64x16,64,16,16,,,,245.43,,,ok
bench,vanilla-nci,off,4,bram,g2_256x16,256,16,16,,,,956.24,,,ok
bench,vanilla-nci,off,4,bram,g2_64x32,64,32,32,,,,808.01,,,ok
bench,vanilla-nci,off,4,bram,g3_8x16,8,16,16,,,,36.37,,,ok
bench,vanilla-nci,off,4,bram,g3_8x64,8,64,64,,,,370.87,,,ok
bench,vanilla-nci,off,4,bram,g3_16x64,16,64,64,,,,735.8,,,ok
bench,vanilla-nci,off,4,bram,g3_32x64,32,64,64,,,,1465.63,,,ok
bench,vanilla-nci,off,8,bram,g1_8x8,8,8,8,,,,13.61,,,ok
bench,vanilla-nci,off,8,bram,g1_16x16,16,16,16,,,,43.98,,,ok
bench,vanilla-nci,off,8,bram,g1_32x32,32,32,32,,,,237.83,,,ok
bench,vanilla-nci,off,8,bram,g1_64x64,64,64,64,,,,1583.45,,,ok
bench,vanilla-nci,off,8,bram,g2_16x8,16,8,8,,,,21.17,,,ok
bench,vanilla-nci,off,8,bram,g2_64x8,64,8,8,,,,59.41,,,ok
bench,vanilla-nci,off,8,bram,g2_256x8,256,8,8,,,,222.61,,,ok
bench,vanilla-nci,off,8,bram,g2_64x16,64,16,16,,,,154.21,,,ok
bench,vanilla-nci,off,8,bram,g2_256x16,256,16,16,,,,598.96,,,ok
bench,vanilla-nci,off,8,bram,g2_64x32,64,32,32,,,,465.88,,,ok
bench,vanilla-nci,off,8,bram,g3_8x16,8,16,16,,,,24.97,,,ok
bench,vanilla-nci,off,8,bram,g3_8x64,8,64,64,,,,203.61,,,ok
bench,vanilla-nci,off,8,bram,g3_16x64,16,64,64,,,,401.28,,,ok
bench,vanilla-nci,off,8,bram,g3_32x64,32,64,64,,,,796.59,,,ok
bench,vanilla-nci,off,16,bram,g1_16x16,16,16,16,,,,32.59,,,ok
bench,vanilla-nci,off,16,bram,g1_32x32,32,32,32,,,,150.39,,,ok
bench,vanilla-nci,off,16,bram,g1_64x64,64,64,64,,,,906.87,,,ok
bench,vanilla-nci,off,16,bram,g2_64x16,64,16,16,,,,108.58,,,ok
bench,vanilla-nci,off,16,bram,g2_256x16,256,16,16,,,,416.44,,,ok
bench,vanilla-nci,off,16,bram,g2_64x32,64,32,32,,,,294.76,,,ok
bench,vanilla-nci,off,16,bram,g3_16x64,16,64,64,,,,233.65,,,ok
bench,vanilla-nci,off,16,bram,g3_32x64,32,64,64,,,,458.3,,,ok
