mode,variant,cache_i,sa_size,layout,case,P,Q,M,tiles,k_it,us_tot,us,cyc_kit,checksum,check
bench,vanilla,on,2,hybrid,g1_8x8,8,8,8,,,,24.85,,,ok
bench,vanilla,on,2,hybrid,g1_16x16,16,16,16,,,,131.06,,,ok
bench,vanilla,on,2,hybrid,g1_32x32,32,32,32,,,,843.13,,,ok
bench,vanilla,on,2,hybrid,g1_64x64,64,64,64,,,,5985.98,,,ok
bench,vanilla,on,2,hybrid,g2_16x8,16,8,8,,,,45.92,,,ok
bench,vanilla,on,2,hybrid,g2_64x8,64,8,8,,,,176.21,,,ok
bench,vanilla,on,2,hybrid,g2_256x8,256,8,8,,,,695.45,,,ok
bench,vanilla,on,2,hybrid,g2_64x16,64,16,16,,,,514.65,,,ok
bench,vanilla,on,2,hybrid,g2_256x16,256,16,16,,,,2051.15,,,ok
bench,vanilla,on,2,hybrid,g2_64x32,64,32,32,,,,1683.04,,,ok
bench,vanilla,on,2,hybrid,g3_8x16,8,16,16,,,,66.51,,,ok
bench,vanilla,on,2,hybrid,g3_8x64,8,64,64,,,,751.25,,,ok
bench,vanilla,on,2,hybrid,g3_16x64,16,64,64,,,,1498.47,,,ok
bench,vanilla,on,2,hybrid,g3_32x64,32,64,64,,,,2995.22,,,ok
bench,vanilla,on,4,hybrid,g1_8x8,8,8,8,,,,15.07,,,ok
bench,vanilla,on,4,hybrid,g1_16x16,16,16,16,,,,69.15,,,ok
bench,vanilla,on,4,hybrid,g1_32x32,32,32,32,,,,431.83,,,ok
bench,vanilla,on,4,hybrid,g1_64x64,64,64,64,,,,3030.39,,,ok
bench,vanilla,on,4,hybrid,g2_16x8,16,8,8,,,,26.19,,,ok
bench,vanilla,on,4,hybrid,g2_64x8,64,8,8,,,,94.28,,,ok
bench,vanilla,on,4,hybrid,g2_256x8,256,8,8,,,,369.24,,,ok
bench,vanilla,on,4,hybrid,g2_64x16,64,16,16,,,,267.85,,,ok
bench,vanilla,on,4,hybrid,g2_256x16,256,16,16,,,,1063.47,,,ok
bench,vanilla,on,4,hybrid,g2_64x32,64,32,32,,,,861.06,,,ok
bench,vanilla,on,4,hybrid,g3_8x16,8,16,16,,,,35.96,,,ok
bench,vanilla,on,4,hybrid,g3_8x64,8,64,64,,,,381.82,,,ok
bench,vanilla,on,4,hybrid,g3_16x64,16,64,64,,,,760.12,,,ok
bench,vanilla,on,4,hybrid,g3_32x64,32,64,64,,,,1516.47,,,ok
bench,vanilla,on,8,hybrid,g1_8x8,8,8,8,,,,10.96,,,ok
bench,vanilla,on,8,hybrid,g1_16x16,16,16,16,,,,47.08,,,ok
bench,vanilla,on,8,hybrid,g1_32x32,32,32,32,,,,258.35,,,ok
bench,vanilla,on,8,hybrid,g1_64x64,64,64,64,,,,1680.52,,,ok
bench,vanilla,on,8,hybrid,g2_16x8,16,8,8,,,,19.3,,,ok
bench,vanilla,on,8,hybrid,g2_64x8,64,8,8,,,,69.29,,,ok
bench,vanilla,on,8,hybrid,g2_256x8,256,8,8,,,,267.82,,,ok
bench,vanilla,on,8,hybrid,g2_64x16,64,16,16,,,,176.29,,,ok
bench,vanilla,on,8,hybrid,g2_256x16,256,16,16,,,,697.33,,,ok
bench,vanilla,on,8,hybrid,g2_64x32,64,32,32,,,,515.27,,,ok
bench,vanilla,on,8,hybrid,g3_8x16,8,16,16,,,,24.86,,,ok
bench,vanilla,on,8,hybrid,g3_8x64,8,64,64,,,,212.44,,,ok
bench,vanilla,on,8,hybrid,g3_16x64,16,64,64,,,,422.27,,,ok
bench,vanilla,on,8,hybrid,g3_32x64,32,64,64,,,,842.3,,,ok
bench,vanilla,on,16,hybrid,g1_16x16,16,16,16,,,,31.76,,,ok
bench,vanilla,on,16,hybrid,g1_32x32,32,32,32,,,,160.6,,,ok
bench,vanilla,on,16,hybrid,g1_64x64,64,64,64,,,,959.14,,,ok
bench,vanilla,on,16,hybrid,g2_64x16,64,16,16,,,,119.17,,,ok
bench,vanilla,on,16,hybrid,g2_256x16,256,16,16,,,,468.12,,,ok
bench,vanilla,on,16,hybrid,g2_64x32,64,32,32,,,,317.53,,,ok
bench,vanilla,on,16,hybrid,g3_16x64,16,64,64,,,,242.75,,,ok
bench,vanilla,on,16,hybrid,g3_32x64,32,64,64,,,,481.59,,,ok
