mode,variant,cache_i,sa_size,layout,case,P,Q,M,tiles,k_it,us_tot,us,cyc_kit,checksum,check
bench,vanilla,on,2,ocm,g1_8x8,8,8,8,,,,29.21,,,ok
bench,vanilla,on,2,ocm,g1_16x16,16,16,16,,,,171.78,,,ok
bench,vanilla,on,2,ocm,g1_32x32,32,32,32,,,,1167.3,,,ok
bench,vanilla,on,2,ocm,g1_64x64,64,64,64,,,,8600.97,,,ok
bench,vanilla,on,2,ocm,g2_16x8,16,8,8,,,,56.25,,,ok
bench,vanilla,on,2,ocm,g2_64x8,64,8,8,,,,216.6,,,ok
bench,vanilla,on,2,ocm,g2_256x8,256,8,8,,,,856.93,,,ok
bench,vanilla,on,2,ocm,g2_64x16,64,16,16,,,,677.02,,,ok
bench,vanilla,on,2,ocm,g2_256x16,256,16,16,,,,2696.27,,,ok
bench,vanilla,on,2,ocm,g2_64x32,64,32,32,,,,2332.62,,,ok
bench,vanilla,on,2,ocm,g3_8x16,8,16,16,,,,87.04,,,ok
bench,vanilla,on,2,ocm,g3_8x64,8,64,64,,,,1077.29,,,ok
bench,vanilla,on,2,ocm,g3_16x64,16,64,64,,,,2152.59,,,ok
bench,vanilla,on,2,ocm,g3_32x64,32,64,64,,,,4302.12,,,ok
bench,vanilla,on,4,ocm,g1_8x8,8,8,8,,,,16.57,,,ok
bench,vanilla,on,4,ocm,g1_16x16,16,16,16,,,,87.8,,,ok
bench,vanilla,on,4,ocm,g1_32x32,32,32,32,,,,587.93,,,ok
bench,vanilla,on,4,ocm,g1_64x64,64,64,64,,,,4310.49,,,ok
bench,vanilla,on,4,ocm,g2_16x8,16,8,8,,,,30.53,,,ok
bench,vanilla,on,4,ocm,g2_64x8,64,8,8,,,,111.56,,,ok
bench,vanilla,on,4,ocm,g2_256x8,256,8,8,,,,434.08,,,ok
bench,vanilla,on,4,ocm,g2_64x16,64,16,16,,,,342.07,,,ok
bench,vanilla,on,4,ocm,g2_256x16,256,16,16,,,,1357.66,,,ok
bench,vanilla,on,4,ocm,g2_64x32,64,32,32,,,,1172.79,,,ok
bench,vanilla,on,4,ocm,g3_8x16,8,16,16,,,,45.9,,,ok
bench,vanilla,on,4,ocm,g3_8x64,8,64,64,,,,541.62,,,ok
bench,vanilla,on,4,ocm,g3_16x64,16,64,64,,,,1079.22,,,ok
bench,vanilla,on,4,ocm,g3_32x64,32,64,64,,,,2157.2,,,ok
bench,vanilla,on,8,ocm,g1_8x8,8,8,8,,,,12.39,,,ok
bench,vanilla,on,8,ocm,g1_16x16,16,16,16,,,,55.71,,,ok
bench,vanilla,on,8,ocm,g1_32x32,32,32,32,,,,334.13,,,ok
bench,vanilla,on,8,ocm,g1_64x64,64,64,64,,,,2312.05,,,ok
bench,vanilla,on,8,ocm,g2_16x8,16,8,8,,,,22.13,,,ok
bench,vanilla,on,8,ocm,g2_64x8,64,8,8,,,,76.63,,,ok
bench,vanilla,on,8,ocm,g2_256x8,256,8,8,,,,296.03,,,ok
bench,vanilla,on,8,ocm,g2_64x16,64,16,16,,,,210.98,,,ok
bench,vanilla,on,8,ocm,g2_256x16,256,16,16,,,,836.81,,,ok
bench,vanilla,on,8,ocm,g2_64x32,64,32,32,,,,665.64,,,ok
bench,vanilla,on,8,ocm,g3_8x16,8,16,16,,,,29.15,,,ok
bench,vanilla,on,8,ocm,g3_8x64,8,64,64,,,,292.1,,,ok
bench,vanilla,on,8,ocm,g3_16x64,16,64,64,,,,580.07,,,ok
bench,vanilla,on,8,ocm,g3_32x64,32,64,64,,,,1157.85,,,ok
bench,vanilla,on,16,ocm,g1_16x16,16,16,16,,,,36.12,,,ok
bench,vanilla,on,16,ocm,g1_32x32,32,32,32,,,,199.71,,,ok
bench,vanilla,on,16,ocm,g1_64x64,64,64,64,,,,1278.92,,,ok
bench,vanilla,on,16,ocm,g2_64x16,64,16,16,,,,138.18,,,ok
bench,vanilla,on,16,ocm,g2_256x16,256,16,16,,,,540.56,,,ok
bench,vanilla,on,16,ocm,g2_64x32,64,32,32,,,,395.36,,,ok
bench,vanilla,on,16,ocm,g3_16x64,16,64,64,,,,321.44,,,ok
bench,vanilla,on,16,ocm,g3_32x64,32,64,64,,,,641.11,,,ok
