mode,variant,cache_i,sa_size,layout,case,P,Q,M,tiles,k_it,us_tot,us,cyc_kit,checksum,check
bench,vanilla-nci,off,2,ocm,g1_8x8,8,8,8,,,,35.16,,,ok
bench,vanilla-nci,off,2,ocm,g1_16x16,16,16,16,,,,174.02,,,ok
bench,vanilla-nci,off,2,ocm,g1_32x32,32,32,32,,,,1170.48,,,ok
bench,vanilla-nci,off,2,ocm,g1_64x64,64,64,64,,,,8603.66,,,ok
bench,vanilla-nci,off,2,ocm,g2_16x8,16,8,8,,,,60.4,,,ok
bench,vanilla-nci,off,2,ocm,g2_64x8,64,8,8,,,,220.21,,,ok
bench,vanilla-nci,off,2,ocm,g2_256x8,256,8,8,,,,859.41,,,ok
bench,vanilla-nci,off,2,ocm,g2_64x16,64,16,16,,,,681.98,,,ok
bench,vanilla-nci,off,2,ocm,g2_256x16,256,16,16,,,,2700.9,,,ok
bench,vanilla-nci,off,2,ocm,g2_64x32,64,32,32,,,,2335.09,,,ok
bench,vanilla-nci,off,2,ocm,g3_8x16,8,16,16,,,,89.83,,,ok
bench,vanilla-nci,off,2,ocm,g3_8x64,8,64,64,,,,1082.25,,,ok
bench,vanilla-nci,off,2,ocm,g3_16x64,16,64,64,,,,2158.36,,,ok
bench,vanilla-nci,off,2,ocm,g3_32x64,32,64,64,,,,4306.94,,,ok
bench,vanilla-nci,off,4,ocm,g1_8x8,8,8,8,,,,22.47,,,ok
bench,vanilla-nci,off,4,ocm,g1_16x16,16,16,16,,,,93.93,,,ok
bench,vanilla-nci,off,4,ocm,g1_32x32,32,32,32,,,,591.04,,,ok
bench,vanilla-nci,off,4,ocm,g1_64x64,64,64,64,,,,4315.37,,,ok
bench,vanilla-nci,off,4,ocm,g2_16x8,16,8,8,,,,35.15,,,ok
bench,vanilla-nci,off,4,ocm,g2_64x8,64,8,8,,,,115.11,,,ok
bench,vanilla-nci,off,4,ocm,g2_256x8,256,8,8,,,,438.92,,,ok
bench,vanilla-nci,off,4,ocm,g2_64x16,64,16,16,,,,346.41,,,ok
bench,vanilla-nci,off,4,ocm,g2_256x16,256,16,16,,,,1363.79,,,ok
bench,vanilla-nci,off,4,ocm,g2_64x32,64,32,32,,,,1178.76,,,ok
bench,vanilla-nci,off,4,ocm,g3_8x16,8,16,16,,,,48.72,,,ok
bench,vanilla-nci,off,4,ocm,g3_8x64,8,64,64,,,,544.05,,,ok
bench,vanilla-nci,off,4,ocm,g3_16x64,16,64,64,,,,1082.48,,,ok
bench,vanilla-nci,off,4,ocm,g3_32x64,32,64,64,,,,2162.52,,,ok
bench,vanilla-nci,off,8,ocm,g1_8x8,8,8,8,,,,18.22,,,ok
bench,vanilla-nci,off,8,ocm,g1_16x16,16,16,16,,,,60.37,,,ok
bench,vanilla-nci,off,8,ocm,g1_32x32,32,32,32,,,,337.93,,,ok
bench,vanilla-nci,off,8,ocm,g1_64x64,64,64,64,,,,2318.19,,,ok
bench,vanilla-nci,off,8,ocm,g2_16x8,16,8,8,,,,26.72,,,ok
bench,vanilla-nci,off,8,ocm,g2_64x8,64,8,8,,,,81.45,,,ok
bench,vanilla-nci,off,8,ocm,g2_256x8,256,8,8,,,,300.07,,,ok
bench,vanilla-nci,off,8,ocm,g2_64x16,64,16,16,,,,216.02,,,ok
bench,vanilla-nci,off,8,ocm,g2_256x16,256,16,16,,,,842.0,,,ok
bench,vanilla-nci,off,8,ocm,g2_64x32,64,32,32,,,,670.1,,,ok
bench,vanilla-nci,off,8,ocm,g3_8x16,8,16,16,,,,35.14,,,ok
bench,vanilla-nci,off,8,ocm,g3_8x64,8,64,64,,,,295.95,,,ok
bench,vanilla-nci,off,8,ocm,g3_16x64,16,64,64,,,,586.05,,,ok
bench,vanilla-nci,off,8,ocm,g3_32x64,32,64,64,,,,1162.18,,,ok
bench,vanilla-nci,off,16,ocm,g1_16x16,16,16,16,,,,39.38,,,ok
bench,vanilla-nci,off,16,ocm,g1_32x32,32,32,32,,,,203.38,,,ok
bench,vanilla-nci,off,16,ocm,g1_64x64,64,64,64,,,,1283.98,,,ok
bench,vanilla-nci,off,16,ocm,g2_64x16,64,16,16,,,,140.29,,,ok
bench,vanilla-nci,off,16,ocm,g2_256x16,256,16,16,,,,543.94,,,ok
bench,vanilla-nci,off,16,ocm,g2_64x32,64,32,32,,,,400.86,,,ok
bench,vanilla-nci,off,16,ocm,g3_16x64,16,64,64,,,,325.33,,,ok
bench,vanilla-nci,off,16,ocm,g3_32x64,32,64,64,,,,644.87,,,ok
