mode,variant,cache_i,sa_size,layout,image,image_id,gold,pred,correct,us_tot,us,fps,accuracy,inferences,us_per_image,fps_run,im2col_us,transfer_us,gemm_us,other_us,pooling
cnn,vanilla-nci,off,2,bram,0,6223,5,5,yes,806401,16128.02,62.0,6/6,300,16275.49,61.44,2287,662,7765,5561,450 0 0 0 871 3032
cnn,vanilla-nci,off,2,bram,1,73380,2,2,yes,817722,16354.44,61.14,6/6,300,16275.49,61.44,2287,662,7765,5561,256 1823 2846 1881 1378 1
cnn,vanilla-nci,off,2,bram,2,6744,4,4,yes,814720,16294.4,61.37,6/6,300,16275.49,61.44,2287,662,7765,5561,577 703 52 49 1689 0
cnn,vanilla-nci,off,2,bram,3,66768,3,3,yes,815033,16300.66,61.34,6/6,300,16275.49,61.44,2287,662,7765,5561,102 1341 472 1928 846 18
cnn,vanilla-nci,off,2,bram,4,79150,0,0,yes,816509,16330.18,61.23,6/6,300,16275.49,61.44,2287,662,7765,5561,2855 804 405 259 1467 243
cnn,vanilla-nci,off,2,bram,6,76951,1,1,yes,812263,16245.26,61.55,6/6,300,16275.49,61.44,2287,662,7765,5561,0 3096 2239 2324 1961 0
cnn,vanilla-nci,off,4,bram,0,6223,5,5,yes,615639,12312.78,81.21,6/6,300,12373.18,80.81,2431,661,4106,5175,450 0 0 0 871 3032
cnn,vanilla-nci,off,4,bram,1,73380,2,2,yes,620841,12416.82,80.53,6/6,300,12373.18,80.81,2431,661,4106,5175,256 1823 2846 1881 1378 1
cnn,vanilla-nci,off,4,bram,2,6744,4,4,yes,621607,12432.14,80.43,6/6,300,12373.18,80.81,2431,661,4106,5175,577 703 52 49 1689 0
cnn,vanilla-nci,off,4,bram,3,66768,3,3,yes,618250,12365.0,80.87,6/6,300,12373.18,80.81,2431,661,4106,5175,102 1341 472 1928 846 18
cnn,vanilla-nci,off,4,bram,4,79150,0,0,yes,620960,12419.2,80.52,6/6,300,12373.18,80.81,2431,661,4106,5175,2855 804 405 259 1467 243
cnn,vanilla-nci,off,4,bram,6,76951,1,1,yes,614659,12293.18,81.34,6/6,300,12373.18,80.81,2431,661,4106,5175,0 3096 2239 2324 1961 0
cnn,vanilla-nci,off,8,bram,0,6223,5,5,yes,524980,10499.6,95.24,6/6,300,10543.59,94.84,2418,661,2224,5240,450 0 0 0 871 3032
cnn,vanilla-nci,off,8,bram,1,73380,2,2,yes,530700,10614.0,94.21,6/6,300,10543.59,94.84,2418,661,2224,5240,256 1823 2846 1881 1378 1
cnn,vanilla-nci,off,8,bram,2,6744,4,4,yes,529084,10581.68,94.5,6/6,300,10543.59,94.84,2418,661,2224,5240,577 703 52 49 1689 0
cnn,vanilla-nci,off,8,bram,3,66768,3,3,yes,526190,10523.8,95.02,6/6,300,10543.59,94.84,2418,661,2224,5240,102 1341 472 1928 846 18
cnn,vanilla-nci,off,8,bram,4,79150,0,0,yes,529352,10587.04,94.45,6/6,300,10543.59,94.84,2418,661,2224,5240,2855 804 405 259 1467 243
cnn,vanilla-nci,off,8,bram,6,76951,1,1,yes,522771,10455.42,95.64,6/6,300,10543.59,94.84,2418,661,2224,5240,0 3096 2239 2324 1961 0
cnn,vanilla-nci,off,16,bram,0,6223,5,5,yes,527130,10542.6,94.85,6/6,300,10671.31,93.7,2461,662,1489,6059,450 0 0 0 871 3032
cnn,vanilla-nci,off,16,bram,1,73380,2,2,yes,535987,10719.74,93.28,6/6,300,10671.31,93.7,2461,662,1489,6059,256 1823 2846 1881 1378 1
cnn,vanilla-nci,off,16,bram,2,6744,4,4,yes,536454,10729.08,93.2,6/6,300,10671.31,93.7,2461,662,1489,6059,577 703 52 49 1689 0
cnn,vanilla-nci,off,16,bram,3,66768,3,3,yes,533093,10661.86,93.79,6/6,300,10671.31,93.7,2461,662,1489,6059,102 1341 472 1928 846 18
cnn,vanilla-nci,off,16,bram,4,79150,0,0,yes,535394,10707.88,93.38,6/6,300,10671.31,93.7,2461,662,1489,6059,2855 804 405 259 1467 243
cnn,vanilla-nci,off,16,bram,6,76951,1,1,yes,533337,10666.74,93.74,6/6,300,10671.31,93.7,2461,662,1489,6059,0 3096 2239 2324 1961 0
