mode,variant,cache_i,sa_size,layout,image,image_id,gold,pred,correct,us_tot,us,fps,accuracy,inferences,us_per_image,fps_run,im2col_us,transfer_us,gemm_us,other_us,pooling
cnn,vanilla,on,2,ocm,0,6223,5,5,yes,609974,12199.48,81.97,6/6,300,12208.08,81.91,222,84,11487,415,450 0 0 0 871 3032
cnn,vanilla,on,2,ocm,1,73380,2,2,yes,611082,12221.64,81.82,6/6,300,12208.08,81.91,222,84,11487,415,256 1823 2846 1881 1378 1
cnn,vanilla,on,2,ocm,2,6744,4,4,yes,610762,12215.24,81.86,6/6,300,12208.08,81.91,222,84,11487,415,577 703 52 49 1689 0
cnn,vanilla,on,2,ocm,3,66768,3,3,yes,610500,12210.0,81.9,6/6,300,12208.08,81.91,222,84,11487,415,102 1341 472 1928 846 18
cnn,vanilla,on,2,ocm,4,79150,0,0,yes,610573,12211.46,81.89,6/6,300,12208.08,81.91,222,84,11487,415,2855 804 405 259 1467 243
cnn,vanilla,on,2,ocm,6,76951,1,1,yes,609533,12190.66,82.03,6/6,300,12208.08,81.91,222,84,11487,415,0 3096 2239 2324 1961 0
cnn,vanilla,on,4,ocm,0,6223,5,5,yes,338591,6771.82,147.67,6/6,300,6767.34,147.76,234,85,6044,404,450 0 0 0 871 3032
cnn,vanilla,on,4,ocm,1,73380,2,2,yes,338630,6772.6,147.65,6/6,300,6767.34,147.76,234,85,6044,404,256 1823 2846 1881 1378 1
cnn,vanilla,on,4,ocm,2,6744,4,4,yes,338368,6767.36,147.76,6/6,300,6767.34,147.76,234,85,6044,404,577 703 52 49 1689 0
cnn,vanilla,on,4,ocm,3,66768,3,3,yes,338197,6763.94,147.84,6/6,300,6767.34,147.76,234,85,6044,404,102 1341 472 1928 846 18
cnn,vanilla,on,4,ocm,4,79150,0,0,yes,338691,6773.82,147.62,6/6,300,6767.34,147.76,234,85,6044,404,2855 804 405 259 1467 243
cnn,vanilla,on,4,ocm,6,76951,1,1,yes,337726,6754.52,148.04,6/6,300,6767.34,147.76,234,85,6044,404,0 3096 2239 2324 1961 0
cnn,vanilla,on,8,ocm,0,6223,5,5,yes,198364,3967.28,252.06,6/6,300,3962.8,252.34,234,84,3239,405,450 0 0 0 871 3032
cnn,vanilla,on,8,ocm,1,73380,2,2,yes,198415,3968.3,251.99,6/6,300,3962.8,252.34,234,84,3239,405,256 1823 2846 1881 1378 1
cnn,vanilla,on,8,ocm,2,6744,4,4,yes,198120,3962.4,252.37,6/6,300,3962.8,252.34,234,84,3239,405,577 703 52 49 1689 0
cnn,vanilla,on,8,ocm,3,66768,3,3,yes,197987,3959.74,252.54,6/6,300,3962.8,252.34,234,84,3239,405,102 1341 472 1928 846 18
cnn,vanilla,on,8,ocm,4,79150,0,0,yes,198459,3969.18,251.94,6/6,300,3962.8,252.34,234,84,3239,405,2855 804 405 259 1467 243
cnn,vanilla,on,8,ocm,6,76951,1,1,yes,197497,3949.94,253.16,6/6,300,3962.8,252.34,234,84,3239,405,0 3096 2239 2324 1961 0
cnn,vanilla,on,16,ocm,0,6223,5,5,yes,141373,2827.46,353.67,6/6,300,2821.25,354.45,223,87,2104,407,450 0 0 0 871 3032
cnn,vanilla,on,16,ocm,1,73380,2,2,yes,141498,2829.96,353.36,6/6,300,2821.25,354.45,223,87,2104,407,256 1823 2846 1881 1378 1
cnn,vanilla,on,16,ocm,2,6744,4,4,yes,141248,2824.96,353.98,6/6,300,2821.25,354.45,223,87,2104,407,577 703 52 49 1689 0
cnn,vanilla,on,16,ocm,3,66768,3,3,yes,141054,2821.08,354.47,6/6,300,2821.25,354.45,223,87,2104,407,102 1341 472 1928 846 18
cnn,vanilla,on,16,ocm,4,79150,0,0,yes,141015,2820.3,354.57,6/6,300,2821.25,354.45,223,87,2104,407,2855 804 405 259 1467 243
cnn,vanilla,on,16,ocm,6,76951,1,1,yes,140188,2803.76,356.66,6/6,300,2821.25,354.45,223,87,2104,407,0 3096 2239 2324 1961 0
