mode,variant,cache_i,sa_size,layout,case,P,Q,M,tiles,k_it,us_tot,us,cyc_kit,checksum,check
free,vanilla,on,2,bram,free,2,2,2,1,4,390,3.9,97,0x6ACA64F5,ok
free,vanilla,on,2,bram,free,2,2,4,1,6,389,3.89,64,0x25E1B2C5,ok
free,vanilla,on,2,bram,free,2,2,8,1,10,390,3.9,39,0xF76182D3,ok
free,vanilla,on,2,bram,free,2,2,16,1,18,531,5.31,29,0x3B2B06C6,ok
free,vanilla,on,2,bram,free,2,2,32,1,34,671,6.71,19,0x90808DA2,ok
free,vanilla,on,2,bram,free,2,2,64,1,66,810,8.1,12,0x394BCFC1,ok
free,vanilla,on,2,bram,free,2,2,128,1,130,1365,13.65,10,0xE3EF615C,ok
free,vanilla,on,2,bram,free,16,16,2,64,4,4833,48.33,18,0xACAD8D17,ok
free,vanilla,on,2,bram,free,32,16,2,128,4,9270,92.7,18,0x51DA4E14,ok
free,vanilla,on,2,bram,free,64,16,2,256,4,18288,182.88,17,0x724FF13C,ok
free,vanilla,on,2,bram,free,128,16,2,512,4,36187,361.87,17,0x308F9B06,ok
free,vanilla,on,2,bram,free,16,16,4,64,6,5806,58.06,15,0x5853D964,ok
free,vanilla,on,2,bram,free,32,16,4,128,6,11333,113.33,14,0xD6455C5E,ok
free,vanilla,on,2,bram,free,64,16,4,256,6,22354,223.54,14,0xA5FB6CC5,ok
free,vanilla,on,2,bram,free,128,16,4,512,6,44372,443.72,14,0x871B3EE4,ok
free,vanilla,on,2,bram,free,16,16,8,64,10,7883,78.83,12,0x0C9F79BB,ok
free,vanilla,on,2,bram,free,32,16,8,128,10,15378,153.78,12,0x10449F1F,ok
free,vanilla,on,2,bram,free,64,16,8,256,10,30498,304.98,11,0x47702AFB,ok
free,vanilla,on,2,bram,free,128,16,8,512,10,60745,607.45,11,0x46506690,ok
free,vanilla,on,2,bram,free,16,16,16,64,18,11930,119.3,10,0x45E151C6,ok
free,vanilla,on,2,bram,free,32,16,16,128,18,23563,235.63,10,0xF768DDA3,ok
free,vanilla,on,2,bram,free,64,16,16,256,18,47005,470.05,10,0xBD9FC448,ok
free,vanilla,on,2,bram,free,128,16,16,512,18,93626,936.26,10,0xB19A24B6,ok
free,vanilla,on,2,bram,free,16,16,64,64,66,36603,366.03,8,0xD6C5F919,ok
free,vanilla,on,2,bram,free,32,16,64,128,66,72811,728.11,8,0x3F92C6E8,ok
free,vanilla,on,2,bram,free,64,16,64,256,66,145374,1453.74,8,0x16FAF822,ok
free,vanilla,on,2,bram,free,16,32,2,128,4,9270,92.7,18,0xF35CFBC6,ok
free,vanilla,on,2,bram,free,16,64,2,256,4,18288,182.88,17,0x8C82F0F9,ok
free,vanilla,on,2,bram,free,16,128,2,512,4,36129,361.29,17,0x8751098A,ok
free,vanilla,on,2,bram,free,16,32,4,128,6,11374,113.74,14,0x1647889A,ok
free,vanilla,on,2,bram,free,16,64,4,256,6,22313,223.13,14,0xC6A3DC5F,ok
free,vanilla,on,2,bram,free,16,128,4,512,6,44369,443.69,14,0xA4FF57D6,ok
free,vanilla,on,2,bram,free,16,32,8,128,10,15378,153.78,12,0x80C45CA8,ok
free,vanilla,on,2,bram,free,16,64,8,256,10,30500,305.0,11,0x2DDF9BAC,ok
free,vanilla,on,2,bram,free,16,128,8,512,10,60743,607.43,11,0x0BD2FFD8,ok
free,vanilla,on,2,bram,free,16,32,16,128,18,23561,235.61,10,0xA8A16076,ok
free,vanilla,on,2,bram,free,16,64,16,256,18,46932,469.32,10,0x0C604263,ok
free,vanilla,on,2,bram,free,16,128,16,512,18,93626,936.26,10,0xD529CA1C,ok
free,vanilla,on,2,bram,free,16,32,64,128,66,72815,728.15,8,0xA6923FCB,ok
free,vanilla,on,2,bram,free,16,64,64,256,66,145378,1453.78,8,0x8CCCA231,ok
free,vanilla,on,2,bram,free,16,128,64,512,66,290356,2903.56,8,0xB15FA9FD,ok
free,vanilla,on,4,bram,free,4,4,2,1,8,390,3.9,48,0x17A031FC,ok
free,vanilla,on,4,bram,free,4,4,4,1,10,531,5.31,53,0x31AD1F20,ok
free,vanilla,on,4,bram,free,4,4,8,1,14,531,5.31,37,0xCAFBB96C,ok
free,vanilla,on,4,bram,free,4,4,16,1,22,671,6.71,30,0x97AC96B0,ok
free,vanilla,on,4,bram,free,4,4,32,1,38,950,9.5,25,0x5B0A8633,ok
free,vanilla,on,4,bram,free,4,4,64,1,70,1504,15.04,21,0xA456C9E5,ok
free,vanilla,on,4,bram,free,4,4,128,1,134,2477,24.77,18,0xC5B8D5B4,ok
free,vanilla,on,4,bram,free,16,16,2,16,8,2615,26.15,20,0xACAD8D17,ok
free,vanilla,on,4,bram,free,32,16,2,32,8,5111,51.11,19,0x51DA4E14,ok
free,vanilla,on,4,bram,free,64,16,2,64,8,9828,98.28,19,0x724FF13C,ok
free,vanilla,on,4,bram,free,128,16,2,128,8,19315,193.15,18,0x308F9B06,ok
free,vanilla,on,4,bram,free,16,16,4,16,10,3169,31.69,19,0x5853D964,ok
free,vanilla,on,4,bram,free,32,16,4,32,10,5959,59.59,18,0xD6455C5E,ok
free,vanilla,on,4,bram,free,64,16,4,64,10,11770,117.7,18,0xA5FB6CC5,ok
free,vanilla,on,4,bram,free,128,16,4,128,10,23072,230.72,18,0x871B3EE4,ok
free,vanilla,on,4,bram,free,16,16,8,16,14,4144,41.44,18,0x0C9F79BB,ok
