mode,variant,cache_i,sa_size,layout,case,P,Q,M,tiles,k_it,us_tot,us,cyc_kit,checksum,check
free,vanilla-nci,off,2,bram,free,2,2,2,1,4,928,9.28,232,0x6ACA64F5,ok
free,vanilla-nci,off,2,bram,free,2,2,4,1,6,925,9.25,154,0x25E1B2C5,ok
free,vanilla-nci,off,2,bram,free,2,2,8,1,10,924,9.24,92,0xF76182D3,ok
free,vanilla-nci,off,2,bram,free,2,2,16,1,18,924,9.24,51,0x3B2B06C6,ok
free,vanilla-nci,off,2,bram,free,2,2,32,1,34,924,9.24,27,0x90808DA2,ok
free,vanilla-nci,off,2,bram,free,2,2,64,1,66,1305,13.05,19,0x394BCFC1,ok
free,vanilla-nci,off,2,bram,free,2,2,128,1,130,1693,16.93,13,0xE3EF615C,ok
free,vanilla-nci,off,2,bram,free,16,16,2,64,4,5115,51.15,19,0xACAD8D17,ok
free,vanilla-nci,off,2,bram,free,32,16,2,128,4,9676,96.76,18,0x51DA4E14,ok
free,vanilla-nci,off,2,bram,free,64,16,2,256,4,18800,188.0,18,0x724FF13C,ok
free,vanilla-nci,off,2,bram,free,128,16,2,512,4,36665,366.65,17,0x308F9B06,ok
free,vanilla-nci,off,2,bram,free,16,16,4,64,6,6251,62.51,16,0x5853D964,ok
free,vanilla-nci,off,2,bram,free,32,16,4,128,6,11577,115.77,15,0xD6455C5E,ok
free,vanilla-nci,off,2,bram,free,64,16,4,256,6,22601,226.01,14,0xA5FB6CC5,ok
free,vanilla-nci,off,2,bram,free,128,16,4,512,6,44647,446.47,14,0x871B3EE4,ok
free,vanilla-nci,off,2,bram,free,16,16,8,64,10,8156,81.56,12,0x0C9F79BB,ok
free,vanilla-nci,off,2,bram,free,32,16,8,128,10,15758,157.58,12,0x10449F1F,ok
free,vanilla-nci,off,2,bram,free,64,16,8,256,10,30963,309.63,12,0x47702AFB,ok
free,vanilla-nci,off,2,bram,free,128,16,8,512,10,61361,613.61,11,0x46506690,ok
free,vanilla-nci,off,2,bram,free,16,16,16,64,18,12338,123.38,10,0x45E151C6,ok
free,vanilla-nci,off,2,bram,free,32,16,16,128,18,24121,241.21,10,0xF768DDA3,ok
free,vanilla-nci,off,2,bram,free,64,16,16,256,18,47309,473.09,10,0xBD9FC448,ok
free,vanilla-nci,off,2,bram,free,128,16,16,512,18,94063,940.63,10,0xB19A24B6,ok
free,vanilla-nci,off,2,bram,free,16,16,64,64,66,37045,370.45,8,0xD6C5F919,ok
free,vanilla-nci,off,2,bram,free,32,16,64,128,66,73156,731.56,8,0x3F92C6E8,ok
free,vanilla-nci,off,2,bram,free,64,16,64,256,66,145758,1457.58,8,0x16FAF822,ok
free,vanilla-nci,off,2,bram,free,16,32,2,128,4,9677,96.77,18,0xF35CFBC6,ok
free,vanilla-nci,off,2,bram,free,16,64,2,256,4,18800,188.0,18,0x8C82F0F9,ok
free,vanilla-nci,off,2,bram,free,16,128,2,512,4,36665,366.65,17,0x8751098A,ok
free,vanilla-nci,off,2,bram,free,16,32,4,128,6,11577,115.77,15,0x1647889A,ok
free,vanilla-nci,off,2,bram,free,16,64,4,256,6,22600,226.0,14,0xC6A3DC5F,ok
free,vanilla-nci,off,2,bram,free,16,128,4,512,6,44647,446.47,14,0xA4FF57D6,ok
free,vanilla-nci,off,2,bram,free,16,32,8,128,10,15758,157.58,12,0x80C45CA8,ok
free,vanilla-nci,off,2,bram,free,16,64,8,256,10,30964,309.64,12,0x2DDF9BAC,ok
free,vanilla-nci,off,2,bram,free,16,128,8,512,10,61357,613.57,11,0x0BD2FFD8,ok
free,vanilla-nci,off,2,bram,free,16,32,16,128,18,24121,241.21,10,0xA8A16076,ok
free,vanilla-nci,off,2,bram,free,16,64,16,256,18,47308,473.08,10,0x0C604263,ok
free,vanilla-nci,off,2,bram,free,16,128,16,512,18,94063,940.63,10,0xD529CA1C,ok
free,vanilla-nci,off,2,bram,free,16,32,64,128,66,73156,731.56,8,0xA6923FCB,ok
free,vanilla-nci,off,2,bram,free,16,64,64,256,66,145758,1457.58,8,0x8CCCA231,ok
free,vanilla-nci,off,2,bram,free,16,128,64,512,66,290956,2909.56,8,0xB15FA9FD,ok
free,vanilla-nci,off,4,bram,free,4,4,2,1,8,925,9.25,115,0x17A031FC,ok
free,vanilla-nci,off,4,bram,free,4,4,4,1,10,924,9.24,92,0x31AD1F20,ok
free,vanilla-nci,off,4,bram,free,4,4,8,1,14,925,9.25,66,0xCAFBB96C,ok
free,vanilla-nci,off,4,bram,free,4,4,16,1,22,923,9.23,41,0x97AC96B0,ok
free,vanilla-nci,off,4,bram,free,4,4,32,1,38,1303,13.03,34,0x5B0A8633,ok
