mode,variant,cache_i,sa_size,layout,case,P,Q,M,tiles,k_it,us_tot,us,cyc_kit,checksum,check
free,vanilla-nci,off,2,hybrid,free,2,2,2,1,4,985,9.85,246,0x6ACA64F5,ok
free,vanilla-nci,off,2,hybrid,free,2,2,4,1,6,983,9.83,163,0x25E1B2C5,ok
free,vanilla-nci,off,2,hybrid,free,2,2,8,1,10,983,9.83,98,0xF76182D3,ok
free,vanilla-nci,off,2,hybrid,free,2,2,16,1,18,980,9.8,54,0x3B2B06C6,ok
free,vanilla-nci,off,2,hybrid,free,2,2,32,1,34,982,9.82,28,0x90808DA2,ok
free,vanilla-nci,off,2,hybrid,free,2,2,64,1,66,1387,13.87,21,0x394BCFC1,ok
free,vanilla-nci,off,2,hybrid,free,2,2,128,1,130,1776,17.76,13,0xE3EF615C,ok
free,vanilla-nci,off,2,hybrid,free,16,16,2,64,4,6419,64.19,25,0xACAD8D17,ok
free,vanilla-nci,off,2,hybrid,free,32,16,2,128,4,11841,118.41,23,0x51DA4E14,ok
free,vanilla-nci,off,2,hybrid,free,64,16,2,256,4,23208,232.08,22,0x724FF13C,ok
free,vanilla-nci,off,2,hybrid,free,128,16,2,512,4,45860,458.6,22,0x308F9B06,ok
free,vanilla-nci,off,2,hybrid,free,16,16,4,64,6,7366,73.66,19,0x5853D964,ok
free,vanilla-nci,off,2,hybrid,free,32,16,4,128,6,14157,141.57,18,0xD6455C5E,ok
free,vanilla-nci,off,2,hybrid,free,64,16,4,256,6,27322,273.22,17,0xA5FB6CC5,ok
free,vanilla-nci,off,2,hybrid,free,128,16,4,512,6,53642,536.42,17,0x871B3EE4,ok
free,vanilla-nci,off,2,hybrid,free,16,16,8,64,10,9519,95.19,14,0x0C9F79BB,ok
free,vanilla-nci,off,2,hybrid,free,32,16,8,128,10,18029,180.29,14,0x10449F1F,ok
free,vanilla-nci,off,2,hybrid,free,64,16,8,256,10,35451,354.51,13,0x47702AFB,ok
free,vanilla-nci,off,2,hybrid,free,128,16,8,512,10,69899,698.99,13,0x46506690,ok
free,vanilla-nci,off,2,hybrid,free,16,16,16,64,18,13390,133.9,11,0x45E151C6,ok
free,vanilla-nci,off,2,hybrid,free,32,16,16,128,18,26330,263.3,11,0xF768DDA3,ok
free,vanilla-nci,off,2,hybrid,free,64,16,16,256,18,52088,520.88,11,0xBD9FC448,ok
free,vanilla-nci,off,2,hybrid,free,128,16,16,512,18,103200,1032.0,11,0xB19A24B6,ok
