mode,variant,cache_i,sa_size,layout,case,P,Q,M,tiles,k_it,us_tot,us,cyc_kit,checksum,check
free,vanilla-nci,off,2,ocm,free,2,2,2,1,4,973,9.73,243,0x6ACA64F5,ok
free,vanilla-nci,off,2,ocm,free,2,2,4,1,6,975,9.75,162,0x25E1B2C5,ok
free,vanilla-nci,off,2,ocm,free,2,2,8,1,10,973,9.73,97,0xF76182D3,ok
free,vanilla-nci,off,2,ocm,free,2,2,16,1,18,975,9.75,54,0x3B2B06C6,ok
free,vanilla-nci,off,2,ocm,free,2,2,32,1,34,1205,12.05,35,0x90808DA2,ok
free,vanilla-nci,off,2,ocm,free,2,2,64,1,66,1403,14.03,21,0x394BCFC1,ok
free,vanilla-nci,off,2,ocm,free,2,2,128,1,130,2256,22.56,17,0xE3EF615C,ok
free,vanilla-nci,off,2,ocm,free,16,16,2,64,4,6885,68.85,26,0xACAD8D17,ok
free,vanilla-nci,off,2,ocm,free,32,16,2,128,4,12781,127.81,24,0x51DA4E14,ok
free,vanilla-nci,off,2,ocm,free,64,16,2,256,4,24986,249.86,24,0x724FF13C,ok
free,vanilla-nci,off,2,ocm,free,128,16,2,512,4,49352,493.52,24,0x308F9B06,ok
free,vanilla-nci,off,2,ocm,free,16,16,4,64,6,8419,84.19,21,0x5853D964,ok
free,vanilla-nci,off,2,ocm,free,32,16,4,128,6,16141,161.41,21,0xD6455C5E,ok
free,vanilla-nci,off,2,ocm,free,64,16,4,256,6,31290,312.9,20,0xA5FB6CC5,ok
free,vanilla-nci,off,2,ocm,free,128,16,4,512,6,61566,615.66,20,0x871B3EE4,ok
free,vanilla-nci,off,2,ocm,free,16,16,8,64,10,11517,115.17,17,0x0C9F79BB,ok
free,vanilla-nci,off,2,ocm,free,32,16,8,128,10,22045,220.45,17,0x10449F1F,ok
free,vanilla-nci,off,2,ocm,free,64,16,8,256,10,43484,434.84,16,0x47702AFB,ok
free,vanilla-nci,off,2,ocm,free,128,16,8,512,10,85947,859.47,16,0x46506690,ok
free,vanilla-nci,off,2,ocm,free,16,16,16,64,18,17420,174.2,15,0x45E151C6,ok
free,vanilla-nci,off,2,ocm,free,32,16,16,128,18,34253,342.53,14,0xF768DDA3,ok
free,vanilla-nci,off,2,ocm,free,64,16,16,256,18,67970,679.7,14,0xBD9FC448,ok
free,vanilla-nci,off,2,ocm,free,128,16,16,512,18,135439,1354.39,14,0xB19A24B6,ok
free,vanilla-nci,off,2,ocm,free,16,16,64,64,66,54428,544.28,12,0xD6C5F919,ok
free,vanilla-nci,off,2,ocm,free,32,16,64,128,66,108286,1082.86,12,0x3F92C6E8,ok
free,vanilla-nci,off,2,ocm,free,64,16,64,256,66,215549,2155.49,12,0x16FAF822,ok
free,vanilla-nci,off,2,ocm,free,16,32,2,128,4,12781,127.81,24,0xF35CFBC6,ok
free,vanilla-nci,off,2,ocm,free,16,64,2,256,4,24985,249.85,24,0x8C82F0F9,ok
free,vanilla-nci,off,2,ocm,free,16,128,2,512,4,49366,493.66,24,0x8751098A,ok
free,vanilla-nci,off,2,ocm,free,16,32,4,128,6,16147,161.47,21,0x1647889A,ok
free,vanilla-nci,off,2,ocm,free,16,64,4,256,6,31292,312.92,20,0xC6A3DC5F,ok
free,vanilla-nci,off,2,ocm,free,16,128,4,512,6,61566,615.66,20,0xA4FF57D6,ok
free,vanilla-nci,off,2,ocm,free,16,32,8,128,10,22043,220.43,17,0x80C45CA8,ok
free,vanilla-nci,off,2,ocm,free,16,64,8,256,10,43485,434.85,16,0x2DDF9BAC,ok
free,vanilla-nci,off,2,ocm,free,16,128,8,512,10,85948,859.48,16,0x0BD2FFD8,ok
free,vanilla-nci,off,2,ocm,free,16,32,16,128,18,34254,342.54,14,0xA8A16076,ok
free,vanilla-nci,off,2,ocm,free,16,64,16,256,18,67939,679.39,14,0x0C604263,ok
free,vanilla-nci,off,2,ocm,free,16,128,16,512,18,135523,1355.23,14,0xD529CA1C,ok
free,vanilla-nci,off,2,ocm,free,16,32,64,128,66,108286,1082.86,12,0xA6923FCB,ok
free,vanilla-nci,off,2,ocm,free,16,64,64,256,66,215544,2155.44,12,0x8CCCA231,ok
free,vanilla-nci,off,2,ocm,free,16,128,64,512,66,430525,4305.25,12,0xB15FA9FD,ok
free,vanilla-nci,off,4,ocm,free,4,4,2,1,8,974,9.74,121,0x17A031FC,ok
free,vanilla-nci,off,4,ocm,free,4,4,4,1,10,975,9.75,97,0x31AD1F20,ok
